"modelID","varName","value","temperature","climate","indoorUnittype","info"
"2","title","AWO-M-AC (AF) 101.A10","0","0","0","1"
"2","application","2","0","0","0","1"
"2","indoor","0","0","0","0","1"
"2","outdoor","1","0","0","0","1"
"2","coolingMode7c12c","1","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","0","0","0","0","1"
"2","warmerClimate","0","0","0","0","1"
"2","reversibility","1","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","1","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_2_001","10.10","4","10","0","2"
"2","EN14511_2_001","9.27","5","10","0","2"
"2","EN14511_2_002","2.39","6","4","0","2"
"2","EN14511_2_002","2.28","4","10","0","2"
"2","EN14511_2_002","3.42","5","10","0","2"
"2","EN14511_2_003","4.43","4","10","0","2"
"2","EN14511_2_003","2.71","5","10","0","2"
"2","EN14511_2_005","7.53","6","4","0","2"
"2","EN14511_2_007","3.15","6","4","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_002","64","4","3","0","2"
"2","EN12102_1_002","64","5","3","0","2"
"2","EN14825_001","178","4","3","0","2"
"2","EN14825_001","135","5","3","0","2"
"2","EN14825_002","9.00","4","3","0","2"
"2","EN14825_002","9.00","5","3","0","2"
"2","EN14825_003","4.53","4","3","0","2"
"2","EN14825_003","3.45","5","3","0","2"
"2","EN14825_004","-7","4","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-20","4","3","0","2"
"2","EN14825_005","-15","5","3","0","2"
"2","EN14825_008","8.30","4","3","0","2"
"2","EN14825_008","8.10","5","3","0","2"
"2","EN14825_009","2.93","4","3","0","2"
"2","EN14825_009","2.13","5","3","0","2"
"2","EN14825_047","1.00","4","3","0","2"
"2","EN14825_047","1.00","5","3","0","2"
"2","EN14825_010","5.30","4","3","0","2"
"2","EN14825_010","5.20","5","3","0","2"
"2","EN14825_011","4.32","4","3","0","2"
"2","EN14825_011","3.41","5","3","0","2"
"2","EN14825_048","1.00","4","3","0","2"
"2","EN14825_048","1.00","5","3","0","2"
"2","EN14825_012","4.20","4","3","0","2"
"2","EN14825_012","4.10","5","3","0","2"
"2","EN14825_013","6.01","4","3","0","2"
"2","EN14825_013","4.30","5","3","0","2"
"2","EN14825_049","0.97","4","3","0","2"
"2","EN14825_049","0.98","5","3","0","2"
"2","EN14825_014","4.90","4","3","0","2"
"2","EN14825_014","4.80","5","3","0","2"
"2","EN14825_015","8.08","4","3","0","2"
"2","EN14825_015","6.36","5","3","0","2"
"2","EN14825_050","0.97","4","3","0","2"
"2","EN14825_050","0.98","5","3","0","2"
"2","EN14825_016","8.30","4","3","0","2"
"2","EN14825_016","8.10","5","3","0","2"
"2","EN14825_017","2.93","4","3","0","2"
"2","EN14825_017","2.13","5","3","0","2"
"2","EN14825_018","8.30","4","3","0","2"
"2","EN14825_018","8.10","5","3","0","2"
"2","EN14825_019","2.71","4","3","0","2"
"2","EN14825_019","1.96","5","3","0","2"
"2","EN14825_030","7.53","6","4","0","2"
