"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","i-32V516","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","0","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","1","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","16.30","4","10","0","2"
"1","EN14511_2_001","15.63","5","10","0","2"
"1","EN14511_2_002","4.38","6","4","0","2"
"1","EN14511_2_002","3.49","4","10","0","2"
"1","EN14511_2_002","5.18","5","10","0","2"
"1","EN14511_2_003","4.67","4","10","0","2"
"1","EN14511_2_003","3.02","5","10","0","2"
"1","EN14511_2_005","13.80","6","4","0","2"
"1","EN14511_2_007","3.15","6","4","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_002","66","4","3","0","2"
"1","EN12102_1_002","66","5","3","0","2"
"1","EN14825_001","177","4","3","0","2"
"1","EN14825_001","126","5","3","0","2"
"1","EN14825_002","14.00","4","3","0","2"
"1","EN14825_002","13.00","5","3","0","2"
"1","EN14825_003","4.50","4","3","0","2"
"1","EN14825_003","3.22","5","3","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-20","4","3","0","2"
"1","EN14825_005","-15","5","3","0","2"
"1","EN14825_008","12.00","4","3","0","2"
"1","EN14825_008","11.50","5","3","0","2"
"1","EN14825_009","2.88","4","3","0","2"
"1","EN14825_009","2.09","5","3","0","2"
"1","EN14825_047","1.000","4","3","0","2"
"1","EN14825_047","1.000","5","3","0","2"
"1","EN14825_010","7.30","4","3","0","2"
"1","EN14825_010","6.90","5","3","0","2"
"1","EN14825_011","4.33","4","3","0","2"
"1","EN14825_011","3.06","5","3","0","2"
"1","EN14825_048","1.000","4","3","0","2"
"1","EN14825_048","1.000","5","3","0","2"
"1","EN14825_012","5.70","4","3","0","2"
"1","EN14825_012","5.50","5","3","0","2"
"1","EN14825_013","5.83","4","3","0","2"
"1","EN14825_013","4.11","5","3","0","2"
"1","EN14825_049","0.981","4","3","0","2"
"1","EN14825_049","0.986","5","3","0","2"
"1","EN14825_014","6.70","4","3","0","2"
"1","EN14825_014","6.60","5","3","0","2"
"1","EN14825_015","8.12","4","3","0","2"
"1","EN14825_015","6.30","5","3","0","2"
"1","EN14825_050","0.977","4","3","0","2"
"1","EN14825_050","0.982","5","3","0","2"
"1","EN14825_016","12.00","4","3","0","2"
"1","EN14825_016","11.50","5","3","0","2"
"1","EN14825_017","2.88","4","3","0","2"
"1","EN14825_017","2.09","5","3","0","2"
"1","EN14825_018","11.70","4","3","0","2"
"1","EN14825_018","11.50","5","3","0","2"
"1","EN14825_019","2.60","4","3","0","2"
"1","EN14825_019","1.94","5","3","0","2"
"1","EN14825_030","13.80","6","4","0","2"
"1","EN14825_031","4.80","6","4","0","2"
"1","EN14825_032","13.80","6","4","0","2"
"1","EN14825_033","3.15","6","4","0","2"
"1","EN14825_034","10.17","6","4","0","2"
"1","EN14825_035","4.36","6","4","0","2"
"1","EN14825_053","1.0","6","4","0","2"
"1","EN14825_036","6.47","6","4","0","2"
"1","EN14825_037","5.30","6","4","0","2"
"1","EN14825_054","1.0","6","4","0","2"
"1","EN14825_038","5.53","6","4","0","2"
"1","EN14825_039","6.67","6","4","0","2"
"1","EN14825_055","1.0","6","4","0","2"
"1","EN14825_022","60","4","3","0","2"
"1","EN14825_022","60","5","3","0","2"
"1","EN14825_023","19","4","3","0","2"
"1","EN14825_023","19","5","3","0","2"
"1","EN14825_023","19","6","4","0","2"
"1","EN14825_024","22","4","3","0","2"
"1","EN14825_024","22","5","3","0","2"
"1","EN14825_024","0","6","4","0","2"
"1","EN14825_025","19","4","3","0","2"
"1","EN14825_025","19","5","3","0","2"
"1","EN14825_025","19","6","4","0","2"
"1","EN14825_026","0","4","3","0","2"
"1","EN14825_026","0","5","3","0","2"
"1","EN14825_026","30","6","4","0","2"
"1","EN14825_027","0","4","3","0","2"
"1","EN14825_027","0","5","3","0","2"
"1","EN14825_028","2.30","4","3","0","2"
"1","EN14825_028","1.50","5","3","0","2"
"1","EN14825_029","6209","4","3","0","2"
"1","EN14825_029","8357","5","3","0","2"
"1","EN14825_041","1726","6","4","0","2"
"i-32V516T","title","i-32V516T","0","0","0","1"
"i-32V516T","application","2","0","0","0","1"
"i-32V516T","indoor","0","0","0","0","1"
"i-32V516T","outdoor","1","0","0","0","1"
"i-32V516T","coolingMode7c12c","1","0","0","0","1"
"i-32V516T","coolingMode18c23c","0","0","0","0","1"
"i-32V516T","colderClimate","0","0","0","0","1"
"i-32V516T","warmerClimate","0","0","0","0","1"
"i-32V516T","reversibility","1","0","0","0","1"
"i-32V516T","colderForHeating","0","0","0","0","1"
"i-32V516T","warmerForHeating","0","0","0","0","1"
"i-32V516T","en145112Certification","0","0","0","0","1"
"i-32V516T","heatSource","0","0","0","0","1"
"i-32V516T","additionalOutdoorAir","0","0","0","0","1"
"i-32V516T","additionalExhaustAir","0","0","0","0","1"
"i-32V516T","additionalIndoorAir","0","0","0","0","1"
"i-32V516T","additionalNonheatedSpaceAir","0","0","0","0","1"
"i-32V516T","powerSupply","3","0","0","0","1"
"i-32V516T","offPeakProduct","0","0","0","0","1"
"i-32V516T","EN14511_2_001","16.30","4","10","0","2"
"i-32V516T","EN14511_2_001","15.63","5","10","0","2"
"i-32V516T","EN14511_2_002","4.38","6","4","0","2"
"i-32V516T","EN14511_2_002","3.49","4","10","0","2"
"i-32V516T","EN14511_2_002","5.18","5","10","0","2"
"i-32V516T","EN14511_2_003","4.67","4","10","0","2"
"i-32V516T","EN14511_2_003","3.02","5","10","0","2"
"i-32V516T","EN14511_2_005","13.80","6","4","0","2"
"i-32V516T","EN14511_2_007","3.15","6","4","0","2"
"i-32V516T","EN14511_4_003","2","0","10","0","2"
"i-32V516T","EN14511_4_004","2","0","10","0","2"
"i-32V516T","EN14511_4_005","2","0","10","0","2"
"i-32V516T","EN14511_4_006","2","0","10","0","2"
"i-32V516T","EN12102_1_002","66","4","3","0","2"
"i-32V516T","EN12102_1_002","66","5","3","0","2"
"i-32V516T","EN14825_001","177","4","3","0","2"
"i-32V516T","EN14825_001","126","5","3","0","2"
"i-32V516T","EN14825_002","14.00","4","3","0","2"
"i-32V516T","EN14825_002","13.00","5","3","0","2"
"i-32V516T","EN14825_003","4.49","4","3","0","2"
"i-32V516T","EN14825_003","3.22","5","3","0","2"
"i-32V516T","EN14825_004","-7","4","3","0","2"
"i-32V516T","EN14825_004","-7","5","3","0","2"
"i-32V516T","EN14825_005","-20","4","3","0","2"
"i-32V516T","EN14825_005","-15","5","3","0","2"
"i-32V516T","EN14825_008","12.00","4","3","0","2"
"i-32V516T","EN14825_008","11.50","5","3","0","2"
"i-32V516T","EN14825_009","2.88","4","3","0","2"
"i-32V516T","EN14825_009","2.09","5","3","0","2"
"i-32V516T","EN14825_047","1.000","4","3","0","2"
"i-32V516T","EN14825_047","1.000","5","3","0","2"
"i-32V516T","EN14825_010","7.30","4","3","0","2"
"i-32V516T","EN14825_010","6.90","5","3","0","2"
"i-32V516T","EN14825_011","4.33","4","3","0","2"
"i-32V516T","EN14825_011","3.06","5","3","0","2"
"i-32V516T","EN14825_048","1.000","4","3","0","2"
"i-32V516T","EN14825_048","1.000","5","3","0","2"
"i-32V516T","EN14825_012","5.70","4","3","0","2"
"i-32V516T","EN14825_012","5.50","5","3","0","2"
"i-32V516T","EN14825_013","5.83","4","3","0","2"
"i-32V516T","EN14825_013","4.11","5","3","0","2"
"i-32V516T","EN14825_049","0.981","4","3","0","2"
"i-32V516T","EN14825_049","0.986","5","3","0","2"
"i-32V516T","EN14825_014","6.70","4","3","0","2"
"i-32V516T","EN14825_014","6.60","5","3","0","2"
"i-32V516T","EN14825_015","8.12","4","3","0","2"
"i-32V516T","EN14825_015","6.30","5","3","0","2"
"i-32V516T","EN14825_050","0.977","4","3","0","2"
"i-32V516T","EN14825_050","0.982","5","3","0","2"
"i-32V516T","EN14825_016","12.00","4","3","0","2"
"i-32V516T","EN14825_016","11.50","5","3","0","2"
"i-32V516T","EN14825_017","2.88","4","3","0","2"
"i-32V516T","EN14825_017","2.09","5","3","0","2"
"i-32V516T","EN14825_018","11.70","4","3","0","2"
"i-32V516T","EN14825_018","11.50","5","3","0","2"
"i-32V516T","EN14825_019","2.60","4","3","0","2"
"i-32V516T","EN14825_019","1.94","5","3","0","2"
"i-32V516T","EN14825_030","13.80","6","4","0","2"
"i-32V516T","EN14825_031","4.80","6","4","0","2"
"i-32V516T","EN14825_032","13.80","6","4","0","2"
