"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","CTC EcoAir 415 1x230V","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","16.33","4","10","0","2"
"","EN14511_2_001","14.46","5","10","0","2"
"","EN14511_2_002","3.43","4","10","0","2"
"","EN14511_2_002","4.66","5","10","0","2"
"","EN14511_2_003","4.76","4","10","0","2"
"","EN14511_2_003","3.11","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_002","64","4","2","0","2"
"","EN12102_1_002","64","5","2","0","2"
"","EN12102_1_002","64","4","3","0","2"
"","EN12102_1_002","64","5","3","0","2"
"","EN14825_001","130","4","2","0","2"
"","EN14825_001","107","5","2","0","2"
"","EN14825_001","147","4","3","0","2"
"","EN14825_001","119","5","3","0","2"
"","EN14825_002","10.37","4","2","0","2"
"","EN14825_002","9.58","5","2","0","2"
"","EN14825_002","13.09","4","3","0","2"
"","EN14825_002","12.27","5","3","0","2"
"","EN14825_003","3.30","4","2","0","2"
"","EN14825_003","2.80","5","2","0","2"
"","EN14825_003","3.80","4","3","0","2"
"","EN14825_003","3.10","5","3","0","2"
"","EN14825_004","-14","4","2","0","2"
"","EN14825_004","-14","5","2","0","2"
"","EN14825_004","-5","4","3","0","2"
"","EN14825_004","-5","5","3","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-22","5","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","10.20","4","2","0","2"
"","EN14825_008","9.60","5","2","0","2"
"","EN14825_008","10.10","4","3","0","2"
"","EN14825_008","9.50","5","3","0","2"
"","EN14825_009","3.21","4","2","0","2"
"","EN14825_009","2.52","5","2","0","2"
"","EN14825_009","3.08","4","3","0","2"
"","EN14825_009","2.32","5","3","0","2"
"","EN14825_010","12.40","4","2","0","2"
"","EN14825_010","11.70","5","2","0","2"
"","EN14825_010","12.30","4","3","0","2"
"","EN14825_010","11.50","5","3","0","2"
"","EN14825_011","3.90","4","2","0","2"
"","EN14825_011","3.16","5","2","0","2"
"","EN14825_011","3.78","4","3","0","2"
"","EN14825_011","2.96","5","3","0","2"
"","EN14825_012","16.50","4","2","0","2"
"","EN14825_012","15.50","5","2","0","2"
"","EN14825_012","16.30","4","3","0","2"
"","EN14825_012","15.20","5","3","0","2"
"","EN14825_013","5.01","4","2","0","2"
"","EN14825_013","4.14","5","2","0","2"
"","EN14825_013","4.89","4","3","0","2"
"","EN14825_013","3.91","5","3","0","2"
"","EN14825_014","18.80","4","2","0","2"
"","EN14825_014","18.00","5","2","0","2"
"","EN14825_014","18.80","4","3","0","2"
"","EN14825_014","17.90","5","3","0","2"
"","EN14825_015","5.67","4","2","0","2"
"","EN14825_015","4.92","5","2","0","2"
"","EN14825_015","5.70","4","3","0","2"
"","EN14825_015","4.78","5","3","0","2"
"","EN14825_016","7.90","4","2","0","2"
"","EN14825_016","7.30","5","2","0","2"
"","EN14825_016","10.60","4","3","0","2"
"","EN14825_016","9.90","5","3","0","2"
"","EN14825_017","2.63","4","2","0","2"
"","EN14825_017","1.95","5","2","0","2"
"","EN14825_017","3.25","4","3","0","2"
"","EN14825_017","2.48","5","3","0","2"
"","EN14825_018","5.80","4","2","0","2"
"","EN14825_018","5.20","5","2","0","2"
"","EN14825_018","9.20","4","3","0","2"
"","EN14825_018","8.60","5","3","0","2"
"","EN14825_019","2.04","4","2","0","2"
"","EN14825_019","1.40","5","2","0","2"
"","EN14825_019","2.83","4","3","0","2"
"","EN14825_019","2.06","5","3","0","2"
"","EN14825_021","0.97","4","2","0","2"
"","EN14825_021","0.99","5","2","0","2"
"","EN14825_021","0.97","4","3","0","2"
"","EN14825_021","0.99","5","3","0","2"
"","EN14825_022","65","4","2","0","2"
"","EN14825_022","65","5","2","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","18","4","2","0","2"
"","EN14825_023","18","5","2","0","2"
"","EN14825_023","18","4","3","0","2"
"","EN14825_023","18","5","3","0","2"
"","EN14825_024","67","4","2","0","2"
"","EN14825_024","20","5","2","0","2"
"","EN14825_024","67","4","3","0","2"
"","EN14825_024","20","5","3","0","2"
"","EN14825_025","18","4","2","0","2"
"","EN14825_025","18","5","2","0","2"
"","EN14825_025","18","4","3","0","2"
"","EN14825_025","18","5","3","0","2"
"","EN14825_026","0","4","2","0","2"
"","EN14825_026","0","5","2","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","2","0","2"
"","EN14825_027","1","5","2","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","4.50","4","2","0","2"
"","EN14825_028","4.40","5","2","0","2"
"","EN14825_028","3.90","4","3","0","2"
"","EN14825_028","3.70","5","3","0","2"
"","EN14825_029","7695","4","2","0","2"
"","EN14825_029","8576","5","2","0","2"
"","EN14825_029","7193","4","3","0","2"
"","EN14825_029","8314","5","3","0","2"
"","title","CTC EcoAir 415 3x400V","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","16.33","4","10","0","2"
"","EN14511_2_001","14.46","5","10","0","2"
