"modelID","varName","value","temperature","climate","indoorUnittype","info"
"2","title","CS7800i LW 16 (+F)","0","0","0","1"
"2","application","2","0","0","0","1"
"2","indoor","1","0","0","0","1"
"2","outdoor","0","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","1","0","0","0","1"
"2","warmerClimate","1","0","0","0","1"
"2","reversibility","0","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","3","0","0","0","1"
"2","offPeakProduct","2","0","0","0","1"
"2","EN14511_4_001","2","0","10","0","2"
"2","EN14511_4_002","2","0","10","0","2"
"2","EN14511_2_001","15.54","4","10","0","2"
"2","EN14511_2_001","14.19","5","10","0","2"
"2","EN14511_2_002","4.14","4","10","0","2"
"2","EN14511_2_002","5.68","5","10","0","2"
"2","EN14511_2_003","3.75","4","10","0","2"
"2","EN14511_2_003","2.5","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_001","41","4","1","0","2"
"2","EN12102_1_001","41","5","1","0","2"
"2","EN12102_1_001","41","4","2","0","2"
"2","EN12102_1_001","41","5","2","0","2"
"2","EN12102_1_001","41","4","3","0","2"
"2","EN12102_1_001","41","5","3","0","2"
"2","EN14825_001","204","4","1","0","2"
"2","EN14825_001","155","5","1","0","2"
"2","EN14825_001","211","4","2","0","2"
"2","EN14825_001","161","5","2","0","2"
"2","EN14825_001","203","4","3","0","2"
"2","EN14825_001","154","5","3","0","2"
"2","EN14825_002","15.53","4","1","0","2"
"2","EN14825_002","14.18","5","1","0","2"
"2","EN14825_002","15.53","4","2","0","2"
"2","EN14825_002","14.18","5","2","0","2"
"2","EN14825_002","15.53","4","3","0","2"
"2","EN14825_002","14.18","5","3","0","2"
"2","EN14825_003","5.30","4","1","0","2"
"2","EN14825_003","4.07","5","1","0","2"
"2","EN14825_003","5.47","4","2","0","2"
"2","EN14825_003","4.24","5","2","0","2"
"2","EN14825_003","5.28","4","3","0","2"
"2","EN14825_003","4.06","5","3","0","2"
"2","EN14825_004","2","4","1","0","2"
"2","EN14825_004","2","5","1","0","2"
"2","EN14825_004","-22","4","2","0","2"
"2","EN14825_004","-22","5","2","0","2"
"2","EN14825_004","-10","4","3","0","2"
"2","EN14825_004","-10","5","3","0","2"
"2","EN14825_005","2","4","1","0","2"
"2","EN14825_005","2","5","1","0","2"
"2","EN14825_005","-22","4","2","0","2"
"2","EN14825_005","-22","5","2","0","2"
"2","EN14825_005","-10","4","3","0","2"
"2","EN14825_005","-10","5","3","0","2"
"2","EN14825_008","10.06","4","2","0","2"
"2","EN14825_008","8.96","5","2","0","2"
"2","EN14825_008","13.91","4","3","0","2"
