"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","HM051MR U44","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","5.50","4","10","0","2"
"","EN14511_2_001","5.50","5","10","0","2"
"","EN14511_2_002","1.17","4","10","0","2"
"","EN14511_2_002","2.04","5","10","0","2"
"","EN14511_2_003","4.70","4","10","0","2"
"","EN14511_2_003","2.70","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_002","57","4","3","0","2"
"","EN12102_1_002","57","5","3","0","2"
"","EN14825_001","175","4","3","0","2"
"","EN14825_001","125","5","3","0","2"
"","EN14825_002","6.00","4","3","0","2"
"","EN14825_002","7.00","5","3","0","2"
"","EN14825_003","4.46","4","3","0","2"
"","EN14825_003","3.20","5","3","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","4.90","4","3","0","2"
"","EN14825_008","5.90","5","3","0","2"
"","EN14825_009","2.90","4","3","0","2"
"","EN14825_009","2.07","5","3","0","2"
"","EN14825_047","0.900","4","3","0","2"
"","EN14825_047","0.900","5","3","0","2"
"","EN14825_010","3.00","4","3","0","2"
"","EN14825_010","3.60","5","3","0","2"
"","EN14825_011","4.20","4","3","0","2"
"","EN14825_011","3.10","5","3","0","2"
"","EN14825_048","0.900","4","3","0","2"
"","EN14825_048","0.900","5","3","0","2"
"","EN14825_012","2.60","4","3","0","2"
"","EN14825_012","2.90","5","3","0","2"
"","EN14825_013","6.20","4","3","0","2"
"","EN14825_013","4.18","5","3","0","2"
"","EN14825_049","0.900","4","3","0","2"
"","EN14825_049","0.900","5","3","0","2"
"","EN14825_014","2.70","4","3","0","2"
"","EN14825_014","3.30","5","3","0","2"
"","EN14825_015","8.80","4","3","0","2"
"","EN14825_015","6.26","5","3","0","2"
"","EN14825_050","0.900","4","3","0","2"
"","EN14825_050","0.900","5","3","0","2"
"","EN14825_016","5.50","4","3","0","2"
"","EN14825_016","5.90","5","3","0","2"
"","EN14825_017","2.57","4","3","0","2"
"","EN14825_017","2.07","5","3","0","2"
"","EN14825_018","5.50","4","3","0","2"
"","EN14825_018","6.70","5","3","0","2"
"","EN14825_019","2.57","4","3","0","2"
"","EN14825_019","1.77","5","3","0","2"
"","EN14825_021","0.900","4","3","0","2"
"","EN14825_021","0.900","5","3","0","2"
"","EN14825_022","65","4","3","0","2"
"","EN14825_022","65","5","3","0","2"
"","EN14825_023","10","4","3","0","2"
"","EN14825_023","10","5","3","0","2"
"","EN14825_024","20","4","3","0","2"
"","EN14825_024","20","5","3","0","2"
"","EN14825_025","10","4","3","0","2"
"","EN14825_025","10","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.50","4","3","0","2"
"","EN14825_028","0.30","5","3","0","2"
"","EN14825_029","2548","4","3","0","2"
"","EN14825_029","4324","5","3","0","2"
"","title","HM071MR U44","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
