"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","Indoor unit ACHP-H12/5R3HA-I and outdoor unit ACHP-H12/5R3HA-O","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","1","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","1","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","12.20","4","10","0","2"
"1","EN14511_2_001","12.00","5","10","0","2"
"1","EN14511_2_002","2.46","4","10","0","2"
"1","EN14511_2_002","3.86","5","10","0","2"
"1","EN14511_2_003","4.96","4","10","0","2"
"1","EN14511_2_003","3.11","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","43","4","1","0","2"
"1","EN12102_1_001","43","5","1","0","2"
"1","EN12102_1_001","43","4","3","0","2"
"1","EN12102_1_001","43","5","3","0","2"
"1","EN12102_1_002","64","4","1","0","2"
"1","EN12102_1_002","64","5","1","0","2"
"1","EN12102_1_002","64","4","3","0","2"
"1","EN12102_1_002","64","5","3","0","2"
"1","EN14825_001","245","4","1","0","2"
"1","EN14825_001","171","5","1","0","2"
"1","EN14825_001","190","4","3","0","2"
"1","EN14825_001","136","5","3","0","2"
"1","EN14825_002","11.10","4","1","0","2"
"1","EN14825_002","12.50","5","1","0","2"
"1","EN14825_002","12.20","4","3","0","2"
"1","EN14825_002","12.00","5","3","0","2"
"1","EN14825_003","6.20","4","1","0","2"
"1","EN14825_003","4.36","5","1","0","2"
"1","EN14825_003","4.82","4","3","0","2"
"1","EN14825_003","3.48","5","3","0","2"
"1","EN14825_004","7","4","1","0","2"
"1","EN14825_004","7","5","1","0","2"
"1","EN14825_004","-7","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","2","4","1","0","2"
"1","EN14825_005","2","5","1","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","10.79","4","3","0","2"
"1","EN14825_008","10.62","5","3","0","2"
"1","EN14825_009","3.02","4","3","0","2"
"1","EN14825_009","2.11","5","3","0","2"
"1","EN14825_047","0.900","4","3","0","2"
"1","EN14825_047","0.900","5","3","0","2"
"1","EN14825_010","10.90","4","1","0","2"
"1","EN14825_010","12.30","5","1","0","2"
"1","EN14825_010","6.57","4","3","0","2"
"1","EN14825_010","6.46","5","3","0","2"
"1","EN14825_011","3.59","4","1","0","2"
"1","EN14825_011","2.31","5","1","0","2"
"1","EN14825_011","4.83","4","3","0","2"
"1","EN14825_011","3.43","5","3","0","2"
"1","EN14825_048","0.900","4","1","0","2"
"1","EN14825_048","0.900","5","1","0","2"
"1","EN14825_048","0.900","4","3","0","2"
"1","EN14825_048","0.900","5","3","0","2"
"1","EN14825_012","7.14","4","1","0","2"
"1","EN14825_012","8.04","5","1","0","2"
"1","EN14825_012","4.22","4","3","0","2"
"1","EN14825_012","4.15","5","3","0","2"
"1","EN14825_013","5.87","4","1","0","2"
"1","EN14825_013","3.86","5","1","0","2"
"1","EN14825_013","6.27","4","3","0","2"
"1","EN14825_013","4.59","5","3","0","2"
"1","EN14825_049","0.900","4","1","0","2"
"1","EN14825_049","0.900","5","1","0","2"
"1","EN14825_049","0.900","4","3","0","2"
"1","EN14825_049","0.900","5","3","0","2"
"1","EN14825_014","3.17","4","1","0","2"
"1","EN14825_014","3.57","5","1","0","2"
"1","EN14825_014","1.88","4","3","0","2"
"1","EN14825_014","1.85","5","3","0","2"
"1","EN14825_015","7.94","4","1","0","2"
"1","EN14825_015","5.70","5","1","0","2"
"1","EN14825_015","9.38","4","3","0","2"
"1","EN14825_015","6.90","5","3","0","2"
"1","EN14825_050","0.900","4","1","0","2"
"1","EN14825_050","0.900","5","1","0","2"
"1","EN14825_050","0.900","4","3","0","2"
"1","EN14825_050","0.900","5","3","0","2"
"1","EN14825_016","7.14","4","1","0","2"
"1","EN14825_016","8.04","5","1","0","2"
"1","EN14825_016","10.79","4","3","0","2"
"1","EN14825_016","10.62","5","3","0","2"
