"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","RAS-2.5WHVN  RWD-2.5NWLE-200S - Heating Only","0","0","0","1"
"","application","4","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","1","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","6.00","4","10","0","2"
"","EN14511_2_001","6.00","5","10","0","2"
"","EN14511_2_002","1.33","4","10","0","2"
"","EN14511_2_002","2.18","5","10","0","2"
"","EN14511_2_003","4.50","4","10","0","2"
"","EN14511_2_003","2.75","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","51","4","3","0","2"
"","EN12102_1_001","51","5","3","0","2"
"","EN12102_1_002","63","4","3","0","2"
"","EN12102_1_002","63","5","3","0","2"
"","EN14825_001","165","4","3","0","2"
"","EN14825_001","125","5","3","0","2"
"","EN14825_002","5.00","4","3","0","2"
"","EN14825_002","5.00","5","3","0","2"
"","EN14825_003","4.21","4","3","0","2"
"","EN14825_003","3.20","5","3","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","4.55","4","3","0","2"
"","EN14825_008","4.30","5","3","0","2"
"","EN14825_009","2.55","4","3","0","2"
"","EN14825_009","1.85","5","3","0","2"
"","EN14825_010","2.77","4","3","0","2"
"","EN14825_010","2.62","5","3","0","2"
"","EN14825_011","4.00","4","3","0","2"
"","EN14825_011","3.08","5","3","0","2"
"","EN14825_012","2.50","4","3","0","2"
"","EN14825_012","2.40","5","3","0","2"
"","EN14825_013","6.45","4","3","0","2"
"","EN14825_013","4.90","5","3","0","2"
"","EN14825_014","2.85","4","3","0","2"
"","EN14825_014","2.54","5","3","0","2"
"","EN14825_015","8.00","4","3","0","2"
"","EN14825_015","6.30","5","3","0","2"
"","EN14825_016","4.55","4","3","0","2"
"","EN14825_016","4.30","5","3","0","2"
"","EN14825_017","2.55","4","3","0","2"
"","EN14825_017","1.85","5","3","0","2"
"","EN14825_018","4.30","4","3","0","2"
"","EN14825_018","3.90","5","3","0","2"
"","EN14825_019","2.40","4","3","0","2"
"","EN14825_019","1.60","5","3","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_021","0.90","5","3","0","2"
"","EN14825_022","55","4","3","0","2"
"","EN14825_022","55","5","3","0","2"
"","EN14825_023","3","4","3","0","2"
"","EN14825_023","3","5","3","0","2"
"","EN14825_024","0","4","3","0","2"
"","EN14825_024","0","5","3","0","2"
"","EN14825_025","3","4","3","0","2"
"","EN14825_025","3","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.80","4","3","0","2"
"","EN14825_028","1.00","5","3","0","2"
"","EN14825_029","2524","4","3","0","2"
"","EN14825_029","3136","5","3","0","2"
"","EN16147_001","L","0","3","0","2"
"","EN16147_002","125","0","3","0","2"
"","EN16147_003","3.30","0","3","0","2"
"","EN16147_004","2:00","0","3","0","2"
"","EN16147_005","28.0","0","3","0","2"
"","EN16147_006","53.5","0","3","0","2"
"","EN16147_007","250","0","3","0","2"
"","title","RAS-2.5WHVNP  RWD-2.5NWLE-200S - with cooling kit","0","0","0","1"
"","application","4","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","1","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","6.00","4","10","0","2"
"","EN14511_2_001","6.00","5","10","0","2"
"","EN14511_2_002","1.33","4","10","0","2"
"","EN14511_2_002","2.18","5","10","0","2"
"","EN14511_2_003","4.50","4","10","0","2"
"","EN14511_2_003","2.75","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_001","51","4","3","0","2"
"","EN12102_1_001","51","5","3","0","2"
"","EN12102_1_002","63","4","3","0","2"
"","EN12102_1_002","63","5","3","0","2"
"","EN14825_001","166","4","3","0","2"
"","EN14825_001","126","5","3","0","2"
"","EN14825_002","5.00","4","3","0","2"
"","EN14825_002","5.00","5","3","0","2"
"","EN14825_003","4.23","4","3","0","2"
"","EN14825_003","3.21","5","3","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","4.55","4","3","0","2"
"","EN14825_008","4.30","5","3","0","2"
"","EN14825_009","2.55","4","3","0","2"
"","EN14825_009","1.85","5","3","0","2"
"","EN14825_010","2.77","4","3","0","2"
"","EN14825_010","2.62","5","3","0","2"
"","EN14825_011","4.00","4","3","0","2"
"","EN14825_011","3.08","5","3","0","2"
"","EN14825_012","2.50","4","3","0","2"
"","EN14825_012","2.40","5","3","0","2"
"","EN14825_013","6.45","4","3","0","2"
"","EN14825_013","4.90","5","3","0","2"
"","EN14825_014","2.85","4","3","0","2"
"","EN14825_014","2.54","5","3","0","2"
"","EN14825_015","8.00","4","3","0","2"
"","EN14825_015","6.30","5","3","0","2"
"","EN14825_016","4.55","4","3","0","2"
"","EN14825_016","4.30","5","3","0","2"
"","EN14825_017","2.55","4","3","0","2"
"","EN14825_017","1.85","5","3","0","2"
"","EN14825_018","4.30","4","3","0","2"
"","EN14825_018","3.90","5","3","0","2"
"","EN14825_019","2.40","4","3","0","2"
"","EN14825_019","1.60","5","3","0","2"
"","EN14825_021","0.90","4","3","0","2"
"","EN14825_021","0.90","5","3","0","2"
"","EN14825_022","55","4","3","0","2"
"","EN14825_022","55","5","3","0","2"
"","EN14825_023","3","4","3","0","2"
"","EN14825_023","3","5","3","0","2"
"","EN14825_024","0","4","3","0","2"
"","EN14825_024","0","5","3","0","2"
"","EN14825_025","3","4","3","0","2"
"","EN14825_025","3","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.80","4","3","0","2"
"","EN14825_028","1.00","5","3","0","2"
"","EN14825_029","2513","4","3","0","2"
"","EN14825_029","3125","5","3","0","2"
"","EN16147_001","L","0","3","0","2"
"","EN16147_002","125","0","3","0","2"
"","EN16147_003","3.30","0","3","0","2"
"","EN16147_004","2:00","0","3","0","2"
"","EN16147_005","28.0","0","3","0","2"
"","EN16147_006","53.5","0","3","0","2"
"","EN16147_007","250","0","3","0","2"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","1,300 kg","0","0","0","0"
"","Date","n/a","0","0","0","0"
"","Manufacturer"," Johnson Controls-Hitachi AirConditioning Spain","0","0","0","0"
"","Modelname","26. Yutaki S Combi Lite 2.5HP","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","n/a","0","0","0","0"
