"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","AE044MXTPEH/EU & AE200TNWTEH/EU","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","4.40","4","10","0","2"
"1","EN14511_2_001","3.83","5","10","0","2"
"1","EN14511_2_002","0.93","4","10","0","2"
"1","EN14511_2_002","1.37","5","10","0","2"
"1","EN14511_2_003","4.73","4","10","0","2"
"1","EN14511_2_003","2.80","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","43","4","3","0","2"
"1","EN12102_1_001","43","4","3","0","2"
"1","EN12102_1_001","43","5","3","0","2"
"1","EN12102_1_001","43","5","3","0","2"
"1","EN12102_1_002","65","4","3","0","2"
"1","EN12102_1_002","65","4","3","0","2"
"1","EN12102_1_002","65","5","3","0","2"
"1","EN12102_1_002","65","5","3","0","2"
"1","EN14825_001","173","4","3","0","2"
"1","EN14825_001","110","5","3","0","2"
"1","EN14825_002","4.00","4","3","0","2"
"1","EN14825_002","4.00","5","3","0","2"
"1","EN14825_003","4.41","4","3","0","2"
"1","EN14825_003","2.83","5","3","0","2"
