"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","IDEAL LOGIC AIR 10kW","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","10.30","4","10","0","2"
"","EN14511_2_001","10.30","5","10","0","2"
"","EN14511_2_002","2.10","4","10","0","2"
"","EN14511_2_002","3.42","5","10","0","2"
"","EN14511_2_003","4.90","4","10","0","2"
"","EN14511_2_003","3.01","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_002","59","4","3","0","2"
"","EN12102_1_002","59","5","3","0","2"
"","EN14825_001","205","4","3","0","2"
"","EN14825_001","146","5","3","0","2"
"","EN14825_002","10.60","4","3","0","2"
"","EN14825_002","10.20","5","3","0","2"
"","EN14825_003","5.19","4","3","0","2"
"","EN14825_003","3.73","5","3","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","9.40","4","3","0","2"
"","EN14825_008","9.00","5","3","0","2"
"","EN14825_009","3.17","4","3","0","2"
"","EN14825_009","2.27","5","3","0","2"
"","EN14825_047","1.000","4","3","0","2"
"","EN14825_047","1.000","5","3","0","2"
"","EN14825_010","5.70","4","3","0","2"
"","EN14825_010","5.50","5","3","0","2"
"","EN14825_011","5.17","4","3","0","2"
"","EN14825_011","3.66","5","3","0","2"
"","EN14825_048","0.990","4","3","0","2"
"","EN14825_048","0.990","5","3","0","2"
"","EN14825_012","3.70","4","3","0","2"
"","EN14825_012","3.50","5","3","0","2"
"","EN14825_013","6.91","4","3","0","2"
"","EN14825_013","4.91","5","3","0","2"
"","EN14825_049","0.970","4","3","0","2"
"","EN14825_049","0.980","5","3","0","2"
"","EN14825_014","4.50","4","3","0","2"
"","EN14825_014","4.40","5","3","0","2"
"","EN14825_015","8.40","4","3","0","2"
"","EN14825_015","6.63","5","3","0","2"
"","EN14825_050","0.970","4","3","0","2"
"","EN14825_050","0.980","5","3","0","2"
"","EN14825_016","9.40","4","3","0","2"
"","EN14825_016","9.00","5","3","0","2"
"","EN14825_017","3.17","4","3","0","2"
"","EN14825_017","2.27","5","3","0","2"
"","EN14825_018","9.10","4","3","0","2"
"","EN14825_018","8.20","5","3","0","2"
"","EN14825_019","2.84","4","3","0","2"
"","EN14825_019","2.03","5","3","0","2"
"","EN14825_021","1.000","4","3","0","2"
"","EN14825_021","1.000","5","3","0","2"
"","EN14825_022","55","4","3","0","2"
"","EN14825_022","55","5","3","0","2"
"","EN14825_023","7","4","3","0","2"
"","EN14825_023","7","5","3","0","2"
"","EN14825_024","15","4","3","0","2"
"","EN14825_024","14","5","3","0","2"
"","EN14825_025","10","4","3","0","2"
"","EN14825_025","10","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","1.50","4","3","0","2"
"","EN14825_028","2.00","5","3","0","2"
"","EN14825_029","4219","4","3","0","2"
"","EN14825_029","5655","5","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,470 kg","0","0","0","0"
"","Date","01.07.2022","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","IDEAL LOGIC AIR 10kW","0","0","0","0"
