"modelID","varName","value","temperature","climate","indoorUnittype","info"
"model-255","title","F1345-30","0","0","0","1"
"model-255","application","2","0","0","0","1"
"model-255","indoor","1","0","0","0","1"
"model-255","outdoor","0","0","0","0","1"
"model-255","coolingMode7c12c","0","0","0","0","1"
"model-255","coolingMode18c23c","0","0","0","0","1"
"model-255","colderClimate","1","0","0","0","1"
"model-255","warmerClimate","0","0","0","0","1"
"model-255","reversibility","0","0","0","0","1"
"model-255","colderForHeating","0","0","0","0","1"
"model-255","warmerForHeating","0","0","0","0","1"
"model-255","en145112Certification","0","0","0","0","1"
"model-255","heatSource","0","0","0","0","1"
"model-255","additionalOutdoorAir","0","0","0","0","1"
"model-255","additionalExhaustAir","0","0","0","0","1"
"model-255","additionalIndoorAir","0","0","0","0","1"
"model-255","additionalNonheatedSpaceAir","0","0","0","0","1"
"model-255","powerSupply","3","0","0","0","1"
"model-255","offPeakProduct","2","0","0","0","1"
"model-255","EN14511_4_001","2","0","10","0","2"
"model-255","EN14511_4_001","2","0","10","0","2"
"model-255","EN14511_4_002","2","0","10","0","2"
"model-255","EN14511_4_002","2","0","10","0","2"
"model-255","EN14511_2_001","30.72","4","10","0","2"
"model-255","EN14511_2_001","29.40","5","10","0","2"
"model-255","EN14511_2_002","6.92","4","10","0","2"
"model-255","EN14511_2_002","10.20","5","10","0","2"
"model-255","EN14511_2_003","4.44","4","10","0","2"
"model-255","EN14511_2_003","2.90","5","10","0","2"
"model-255","EN14511_4_003","2","0","10","0","2"
"model-255","EN14511_4_003","2","0","10","0","2"
"model-255","EN14511_4_004","2","0","10","0","2"
"model-255","EN14511_4_004","2","0","10","0","2"
"model-255","EN12102_1_001","47","4","2","0","2"
"model-255","EN12102_1_001","47","5","2","0","2"
"model-255","EN12102_1_001","47","4","3","0","2"
"model-255","EN12102_1_001","47","5","3","0","2"
"model-255","EN14825_001","186","4","2","0","2"
"model-255","EN14825_001","144","5","2","0","2"
"model-255","EN14825_001","178","4","3","0","2"
"model-255","EN14825_001","137","5","3","0","2"
"model-255","EN14825_002","35.00","4","2","0","2"
"model-255","EN14825_002","35.00","5","2","0","2"
"model-255","EN14825_002","35.00","4","3","0","2"
"model-255","EN14825_002","35.00","5","3","0","2"
"model-255","EN14825_003","4.85","4","2","0","2"
"model-255","EN14825_003","3.80","5","2","0","2"
"model-255","EN14825_003","4.65","4","3","0","2"
"model-255","EN14825_003","3.63","5","3","0","2"
"model-255","EN14825_004","-18","4","2","0","2"
"model-255","EN14825_004","-16","5","2","0","2"
"model-255","EN14825_004","-7","4","3","0","2"
"model-255","EN14825_004","-6","5","3","0","2"
"model-255","EN14825_005","-22","4","2","0","2"
"model-255","EN14825_005","-22","5","2","0","2"
"model-255","EN14825_005","-10","4","3","0","2"
"model-255","EN14825_005","-10","5","3","0","2"
"model-255","EN14825_008","31.00","4","2","0","2"
"model-255","EN14825_008","30.10","5","2","0","2"
"model-255","EN14825_008","30.80","4","3","0","2"
"model-255","EN14825_008","29.50","5","3","0","2"
"model-255","EN14825_009","4.75","4","2","0","2"
"model-255","EN14825_009","3.55","5","2","0","2"
"model-255","EN14825_009","4.51","4","3","0","2"
"model-255","EN14825_009","3.15","5","3","0","2"
"model-255","EN14825_010","15.60","4","2","0","2"
"model-255","EN14825_010","15.30","5","2","0","2"
"model-255","EN14825_010","30.90","4","3","0","2"
"model-255","EN14825_010","30.20","5","3","0","2"
"model-255","EN14825_011","5.06","4","2","0","2"
"model-255","EN14825_011","4.04","5","2","0","2"
"model-255","EN14825_011","4.69","4","3","0","2"
"model-255","EN14825_011","3.64","5","3","0","2"
"model-255","EN14825_012","15.60","4","2","0","2"
"model-255","EN14825_012","15.40","5","2","0","2"
"model-255","EN14825_012","15.60","4","3","0","2"
"model-255","EN14825_012","15.30","5","3","0","2"
"model-255","EN14825_013","5.14","4","2","0","2"
"model-255","EN14825_013","4.39","5","2","0","2"
"model-255","EN14825_013","5.02","4","3","0","2"
"model-255","EN14825_013","4.09","5","3","0","2"
"model-255","EN14825_014","15.60","4","2","0","2"
"model-255","EN14825_014","15.50","5","2","0","2"
"model-255","EN14825_014","15.60","4","3","0","2"
"model-255","EN14825_014","15.40","5","3","0","2"
"model-255","EN14825_015","4.86","4","2","0","2"
"model-255","EN14825_015","4.55","5","2","0","2"
"model-255","EN14825_015","5.01","4","3","0","2"
"model-255","EN14825_015","4.40","5","3","0","2"
"model-255","EN14825_016","30.80","4","2","0","2"
"model-255","EN14825_016","29.60","5","2","0","2"
"model-255","EN14825_016","30.80","4","3","0","2"
"model-255","EN14825_016","29.60","5","3","0","2"
"model-255","EN14825_017","4.55","4","2","0","2"
"model-255","EN14825_017","3.24","5","2","0","2"
"model-255","EN14825_017","4.51","4","3","0","2"
"model-255","EN14825_017","3.23","5","3","0","2"
"model-255","EN14825_018","30.80","4","2","0","2"
"model-255","EN14825_018","19.30","5","2","0","2"
"model-255","EN14825_018","30.80","4","3","0","2"
"model-255","EN14825_018","29.30","5","3","0","2"
"model-255","EN14825_019","4.38","4","2","0","2"
"model-255","EN14825_019","2.99","5","2","0","2"
"model-255","EN14825_019","4.38","4","3","0","2"
"model-255","EN14825_019","2.99","5","3","0","2"
"model-255","EN14825_021","0.98","4","2","0","2"
"model-255","EN14825_021","0.99","5","2","0","2"
"model-255","EN14825_021","0.98","4","3","0","2"
"model-255","EN14825_021","0.99","5","3","0","2"
"model-255","EN14825_022","65","4","2","0","2"
"model-255","EN14825_022","65","5","2","0","2"
"model-255","EN14825_022","65","4","3","0","2"
"model-255","EN14825_022","65","5","3","0","2"
"model-255","EN14825_023","2","4","2","0","2"
"model-255","EN14825_023","2","5","2","0","2"
"model-255","EN14825_023","2","4","3","0","2"
"model-255","EN14825_023","2","5","3","0","2"
"model-255","EN14825_024","60","4","2","0","2"
"model-255","EN14825_024","60","5","2","0","2"
"model-255","EN14825_024","80","4","3","0","2"
"model-255","EN14825_024","80","5","3","0","2"
"model-255","EN14825_025","7","4","2","0","2"
"model-255","EN14825_025","7","5","2","0","2"
"model-255","EN14825_025","7","4","3","0","2"
