"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","CTC EcoAir 406 1x230V","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","2","0","0","0","1"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_001","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_4_002","2","0","10","0","2"
"","EN14511_2_001","6.22","4","10","0","2"
"","EN14511_2_001","5.56","5","10","0","2"
"","EN14511_2_002","1.28","4","10","0","2"
"","EN14511_2_002","1.83","5","10","0","2"
"","EN14511_2_003","4.78","4","10","0","2"
"","EN14511_2_003","3.03","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN12102_1_002","56","4","2","0","2"
"","EN12102_1_002","56","5","2","0","2"
"","EN12102_1_002","56","4","3","0","2"
"","EN12102_1_002","56","5","3","0","2"
"","EN14825_001","131","4","2","0","2"
"","EN14825_001","103","5","2","0","2"
"","EN14825_001","151","4","3","0","2"
"","EN14825_001","131","5","3","0","2"
"","EN14825_002","4.14","4","2","0","2"
"","EN14825_002","5.14","5","2","0","2"
"","EN14825_002","5.08","4","3","0","2"
"","EN14825_002","4.95","5","3","0","2"
