"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","THERMOR PERFECO S 18 TRI","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","15.20","4","10","0","2","0"
"","EN14511_2_001","13.40","5","10","0","2","0"
"","EN14511_2_002","3.70","4","10","0","2","0"
"","EN14511_2_002","4.65","5","10","0","2","0"
"","EN14511_2_003","4.11","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","40","4","3","0","2","0"
"","EN12102_1_001","40","5","3","0","2","0"
"","EN12102_1_002","67","4","3","0","2","0"
"","EN12102_1_002","67","5","3","0","2","0"
"","EN14825_001","167","4","3","0","2","0"
"","EN14825_001","131","5","3","0","2","0"
"","EN14825_002","14.60","4","3","0","2","0"
"","EN14825_002","14.50","5","3","0","2","0"
"","EN14825_003","4.26","4","3","0","2","0"
"","EN14825_003","3.36","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","12.90","4","3","0","2","0"
"","EN14825_008","12.80","5","3","0","2","0"
"","EN14825_009","2.66","4","3","0","2","0"
"","EN14825_009","2.05","5","3","0","2","0"
"","EN14825_047","1.000","4","3","0","2","0"
"","EN14825_047","1.000","5","3","0","2","0"
"","EN14825_010","7.90","4","3","0","2","0"
"","EN14825_010","7.80","5","3","0","2","0"
"","EN14825_011","3.99","4","3","0","2","0"
"","EN14825_011","3.28","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","6.30","4","3","0","2","0"
"","EN14825_012","6.30","5","3","0","2","0"
"","EN14825_013","6.21","4","3","0","2","0"
"","EN14825_013","4.58","5","3","0","2","0"
"","EN14825_049","0.980","4","3","0","2","0"
"","EN14825_049","0.980","5","3","0","2","0"
"","EN14825_014","7.30","4","3","0","2","0"
"","EN14825_014","7.40","5","3","0","2","0"
"","EN14825_015","7.82","4","3","0","2","0"
"","EN14825_015","5.75","5","3","0","2","0"
"","EN14825_050","0.980","4","3","0","2","0"
"","EN14825_050","0.980","5","3","0","2","0"
"","EN14825_016","12.90","4","3","0","2","0"
"","EN14825_016","12.80","5","3","0","2","0"
"","EN14825_017","2.66","4","3","0","2","0"
"","EN14825_017","2.05","5","3","0","2","0"
"","EN14825_018","12.20","4","3","0","2","0"
"","EN14825_018","11.50","5","3","0","2","0"
"","EN14825_019","2.52","4","3","0","2","0"
"","EN14825_019","1.85","5","3","0","2","0"
"","EN14825_021","1.000","4","3","0","2","0"
"","EN14825_021","1.000","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","17","4","3","0","2","0"
"","EN14825_023","17","5","3","0","2","0"
"","EN14825_024","21","4","3","0","2","0"
"","EN14825_024","21","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","17","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","2.40","4","3","0","2","0"
"","EN14825_028","3.00","5","3","0","2","0"
"","EN14825_029","7081","4","3","0","2","0"
"","EN14825_029","8924","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","2,500 kg","0","0","0","0"
"","Date","08.03.2024","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","THERMOR PERFECO S 18 TRI","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
