"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","OU: HPM-V120W/SR3-B + IU: HM-90/D","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.00","4","10","0","2","0"
"","EN14511_2_001","12.00","5","10","0","2","0"
"","EN14511_2_002","2.53","4","10","0","2","0"
"","EN14511_2_002","4.00","5","10","0","2","0"
"","EN14511_2_003","4.75","4","10","0","2","0"
"","EN14511_2_003","3.00","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","37","4","1","0","2","0"
"","EN12102_1_001","37","5","1","0","2","0"
"","EN12102_1_001","37","4","2","0","2","0"
"","EN12102_1_001","37","5","2","0","2","0"
"","EN12102_1_001","37","4","3","0","2","0"
"","EN12102_1_001","37","5","3","0","2","0"
"","EN12102_1_002","56","4","1","0","2","0"
"","EN12102_1_002","56","5","1","0","2","0"
"","EN12102_1_002","56","4","2","0","2","0"
"","EN12102_1_002","56","5","2","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","265","4","1","0","2","0"
"","EN14825_001","189","5","1","0","2","0"
"","EN14825_001","170","4","2","0","2","0"
"","EN14825_001","132","5","2","0","2","0"
"","EN14825_001","193","4","3","0","2","0"
"","EN14825_001","148","5","3","0","2","0"
"","EN14825_002","11.40","4","1","0","2","0"
"","EN14825_002","11.40","5","1","0","2","0"
"","EN14825_002","11.30","4","2","0","2","0"
"","EN14825_002","10.50","5","2","0","2","0"
"","EN14825_002","12.20","4","3","0","2","0"
"","EN14825_002","12.10","5","3","0","2","0"
"","EN14825_003","6.71","4","1","0","2","0"
"","EN14825_003","4.80","5","1","0","2","0"
"","EN14825_003","4.33","4","2","0","2","0"
"","EN14825_003","3.36","5","2","0","2","0"
"","EN14825_003","4.89","4","3","0","2","0"
"","EN14825_003","3.77","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-15","4","2","0","2","0"
"","EN14825_004","-15","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.95","4","2","0","2","0"
"","EN14825_008","6.47","5","2","0","2","0"
"","EN14825_008","11.21","4","3","0","2","0"
"","EN14825_008","11.19","5","3","0","2","0"
"","EN14825_009","3.61","4","2","0","2","0"
