"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Indoor unit: RLB100; Outdoor unit: WAO-5","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.38","4","10","0","2","0"
"1","EN14511_2_001","5.58","5","10","0","2","0"
"1","EN14511_2_002","0.88","4","10","0","2","0"
"1","EN14511_2_002","1.85","5","10","0","2","0"
"1","EN14511_2_003","4.99","4","10","0","2","0"
"1","EN14511_2_003","3.03","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","54","4","3","0","2","0"
"1","EN12102_1_002","57","5","3","0","2","0"
"1","EN14825_001","189","4","3","0","2","0"
"1","EN14825_001","141","5","3","0","2","0"
"1","EN14825_002","4.91","4","3","0","2","0"
"1","EN14825_002","4.55","5","3","0","2","0"
"1","EN14825_003","4.81","4","3","0","2","0"
"1","EN14825_003","3.59","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","4.35","4","3","0","2","0"
"1","EN14825_008","4.02","5","3","0","2","0"
"1","EN14825_009","2.98","4","3","0","2","0"
"1","EN14825_009","2.29","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","3.01","4","3","0","2","0"
"1","EN14825_010","2.59","5","3","0","2","0"
"1","EN14825_011","4.78","4","3","0","2","0"
"1","EN14825_011","3.39","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","2.30","4","3","0","2","0"
"1","EN14825_012","2.15","5","3","0","2","0"
"1","EN14825_013","6.60","4","3","0","2","0"
"1","EN14825_013","5.17","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","2.74","4","3","0","2","0"
"1","EN14825_014","2.59","5","3","0","2","0"
"1","EN14825_015","9.70","4","3","0","2","0"
"1","EN14825_015","7.45","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","4.35","4","3","0","2","0"
"1","EN14825_016","4.02","5","3","0","2","0"
"1","EN14825_017","2.98","4","3","0","2","0"
"1","EN14825_017","2.29","5","3","0","2","0"
"1","EN14825_018","4.01","4","3","0","2","0"
"1","EN14825_018","3.54","5","3","0","2","0"
"1","EN14825_019","2.95","4","3","0","2","0"
"1","EN14825_019","2.18","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","56","4","3","0","2","0"
"1","EN14825_022","56","5","3","0","2","0"
"1","EN14825_023","20","4","3","0","2","0"
"1","EN14825_023","20","5","3","0","2","0"
"1","EN14825_024","23","4","3","0","2","0"
"1","EN14825_024","23","5","3","0","2","0"
"1","EN14825_025","20","4","3","0","2","0"
"1","EN14825_025","20","5","3","0","2","0"
"1","EN14825_026","30","4","3","0","2","0"
"1","EN14825_026","30","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.90","4","3","0","2","0"
"1","EN14825_028","1.01","5","3","0","2","0"
"1","EN14825_029","2111","4","3","0","2","0"
"1","EN14825_029","2616","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,600 kg","0","0","0","0"
"","Date","31.07.2024","0","0","0","0"
"","Manufacturer"," POLYTROPIC SAS","0","0","0","0"
"","Modelname","DC Inverter Air To Water Heat Pump Unit-R290-05","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
