"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Alféa Excellia S 12 Tri","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.55","4","10","0","2","0"
"","EN14511_2_001","9.16","5","10","0","2","0"
"","EN14511_2_002","2.69","4","10","0","2","0"
"","EN14511_2_002","3.06","5","10","0","2","0"
"","EN14511_2_003","4.67","4","10","0","2","0"
"","EN14511_2_003","2.99","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","36","4","3","0","2","0"
"","EN12102_1_001","36","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","183","4","3","0","2","0"
"","EN14825_001","135","5","3","0","2","0"
"","EN14825_002","10.10","4","3","0","2","0"
"","EN14825_002","9.80","5","3","0","2","0"
"","EN14825_003","4.66","4","3","0","2","0"
"","EN14825_003","3.44","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.90","4","3","0","2","0"
"","EN14825_008","8.70","5","3","0","2","0"
"","EN14825_009","3.09","4","3","0","2","0"
"","EN14825_009","2.29","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","1.000","5","3","0","2","0"
"","EN14825_010","5.40","4","3","0","2","0"
"","EN14825_010","5.30","5","3","0","2","0"
"","EN14825_011","4.62","4","3","0","2","0"
"","EN14825_011","3.38","5","3","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","4.40","4","3","0","2","0"
"","EN14825_012","4.10","5","3","0","2","0"
"","EN14825_013","6.06","4","3","0","2","0"
"","EN14825_013","4.37","5","3","0","2","0"
"","EN14825_049","0.970","4","3","0","2","0"
"","EN14825_049","0.980","5","3","0","2","0"
"","EN14825_014","5.00","4","3","0","2","0"
"","EN14825_014","4.90","5","3","0","2","0"
"","EN14825_015","7.57","4","3","0","2","0"
"","EN14825_015","5.87","5","3","0","2","0"
"","EN14825_050","0.970","4","3","0","2","0"
"","EN14825_050","0.980","5","3","0","2","0"
"","EN14825_016","8.90","4","3","0","2","0"
"","EN14825_016","8.70","5","3","0","2","0"
"","EN14825_017","3.09","4","3","0","2","0"
"","EN14825_017","2.29","5","3","0","2","0"
"","EN14825_018","8.50","4","3","0","2","0"
"","EN14825_018","8.10","5","3","0","2","0"
"","EN14825_019","2.86","4","3","0","2","0"
"","EN14825_019","2.01","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","1.000","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","21","4","3","0","2","0"
"","EN14825_024","18","5","3","0","2","0"
"","EN14825_025","14","4","3","0","2","0"
"","EN14825_025","14","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.60","4","3","0","2","0"
"","EN14825_028","1.70","5","3","0","2","0"
"","EN14825_029","4476","4","3","0","2","0"
"","EN14825_029","5879","5","3","0","2","0"
"","title","Alféa Excellia S Duo 12 Tri","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.55","4","10","0","2","0"
"","EN14511_2_001","9.16","5","10","0","2","0"
"","EN14511_2_002","2.69","4","10","0","2","0"
"","EN14511_2_002","3.06","5","10","0","2","0"
"","EN14511_2_003","4.67","4","10","0","2","0"
"","EN14511_2_003","2.99","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","36","4","3","0","2","0"
"","EN12102_1_001","36","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","183","4","3","0","2","0"
"","EN14825_001","135","5","3","0","2","0"
"","EN14825_002","10.10","4","3","0","2","0"
"","EN14825_002","9.80","5","3","0","2","0"
"","EN14825_003","4.66","4","3","0","2","0"
"","EN14825_003","3.44","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
