"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"3","title","VIESSMANN Vitocal 262-A Typ T2E - Indoor air","0","0","0","1","0"
"3","application","0","0","0","0","1","0"
"3","indoor","1","0","0","0","1","0"
"3","outdoor","0","0","0","0","1","0"
"3","coolingMode7c12c","0","0","0","0","1","0"
"3","coolingMode18c23c","0","0","0","0","1","0"
"3","colderClimate","0","0","0","0","1","0"
"3","warmerClimate","0","0","0","0","1","0"
"3","reversibility","0","0","0","0","1","0"
"3","colderForHeating","0","0","0","0","1","0"
"3","warmerForHeating","0","0","0","0","1","0"
"3","en145112Certification","0","0","0","0","1","0"
"3","heatSource","3","0","0","0","1","0"
"3","additionalOutdoorAir","0","0","0","0","1","0"
"3","additionalExhaustAir","0","0","0","0","1","0"
"3","additionalIndoorAir","0","0","0","0","1","0"
"3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"3","powerSupply","1","0","0","0","1","0"
"3","offPeakProduct","1","0","0","0","1","0"
"3","EN12102_2_001","55","0","3","0","2","0"
"3","EN16147_001","XL","0","3","0","2","0"
"3","EN16147_002","166","0","3","0","2","0"
"3","EN16147_003","4.03","0","3","0","2","0"
"3","EN16147_004","10:22","0","3","0","2","0"
"3","EN16147_005","23.0","0","3","0","2","0"
"3","EN16147_006","53.7","0","3","0","2","0"
"3","EN16147_007","424","0","3","0","2","0"
"3","EN16147_008","2","0","5","0","2","0"
"3","EN16147_009","2","0","5","0","2","0"
"3","EN16147_010","2","0","5","0","2","0"
"1","title","VIESSMANN Vitocal 262-A Typ T2E - Outdoor air","0","0","0","1","0"
"1","application","0","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","1","0","0","0","1","0"
