"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","WPL-A 10 HK 400 Premium","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","8.24","4","10","0","2","0"
"1","EN14511_2_001","9.03","5","10","0","2","0"
"1","EN14511_2_002","1.79","4","10","0","2","0"
"1","EN14511_2_002","2.88","5","10","0","2","0"
"1","EN14511_2_003","4.61","4","10","0","2","0"
"1","EN14511_2_003","3.14","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","55","4","3","0","2","0"
"1","EN12102_1_002","55","5","3","0","2","0"
"1","EN14825_001","169","4","3","0","2","0"
"1","EN14825_001","135","5","3","0","2","0"
"1","EN14825_002","11.20","4","3","0","2","0"
"1","EN14825_002","11.60","5","3","0","2","0"
"1","EN14825_003","4.31","4","3","0","2","0"
"1","EN14825_003","3.44","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","9.89","4","3","0","2","0"
"1","EN14825_008","10.22","5","3","0","2","0"
"1","EN14825_009","3.36","4","3","0","2","0"
"1","EN14825_009","2.59","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","7.12","4","3","0","2","0"
"1","EN14825_010","7.06","5","3","0","2","0"
"1","EN14825_011","4.17","4","3","0","2","0"
"1","EN14825_011","3.28","5","3","0","2","0"
"1","EN14825_048","0.980","4","3","0","2","0"
"1","EN14825_048","0.990","5","3","0","2","0"
"1","EN14825_012","8.31","4","3","0","2","0"
"1","EN14825_012","8.01","5","3","0","2","0"
"1","EN14825_013","5.24","4","3","0","2","0"
"1","EN14825_013","4.25","5","3","0","2","0"
"1","EN14825_049","0.980","4","3","0","2","0"
"1","EN14825_049","0.990","5","3","0","2","0"
"1","EN14825_014","9.57","4","3","0","2","0"
"1","EN14825_014","9.28","5","3","0","2","0"
"1","EN14825_015","6.41","4","3","0","2","0"
"1","EN14825_015","5.25","5","3","0","2","0"
"1","EN14825_050","0.980","4","3","0","2","0"
"1","EN14825_050","0.980","5","3","0","2","0"
"1","EN14825_016","9.89","4","3","0","2","0"
"1","EN14825_016","10.22","5","3","0","2","0"
"1","EN14825_017","3.36","4","3","0","2","0"
"1","EN14825_017","2.59","5","3","0","2","0"
"1","EN14825_018","9.25","4","3","0","2","0"
"1","EN14825_018","10.00","5","3","0","2","0"
