"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","MMTC R32 040","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","1","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","40.20","4","10","0","2","0"
"1","EN14511_2_001","29.00","5","10","0","2","0"
"1","EN14511_2_002","9.75","6","4","0","2","0"
"1","EN14511_2_002","8.84","7","4","0","2","0"
"1","EN14511_2_002","9.50","4","10","0","2","0"
"1","EN14511_2_002","9.67","5","10","0","2","0"
"1","EN14511_2_003","4.30","4","10","0","2","0"
"1","EN14511_2_003","3.00","5","10","0","2","0"
"1","EN14511_2_005","30.60","6","4","0","2","0"
"1","EN14511_2_005","37.70","7","4","0","2","0"
"1","EN14511_2_007","3.10","6","4","0","2","0"
"1","EN14511_2_007","4.26","7","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","65","4","3","0","2","0"
"1","EN12102_1_002","65","5","3","0","2","0"
"1","EN14825_001","189","4","3","0","2","0"
"1","EN14825_001","142","5","3","0","2","0"
"1","EN14825_002","30.00","4","3","0","2","0"
"1","EN14825_002","23.70","5","3","0","2","0"
"1","EN14825_003","4.80","4","3","0","2","0"
"1","EN14825_003","3.61","5","3","0","2","0"
"1","EN14825_004","-5","4","3","0","2","0"
"1","EN14825_004","-5","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","26.20","4","3","0","2","0"
"1","EN14825_008","20.50","5","3","0","2","0"
"1","EN14825_009","2.75","4","3","0","2","0"
"1","EN14825_009","2.15","5","3","0","2","0"
"1","EN14825_047","1.000","4","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","16.59","4","3","0","2","0"
"1","EN14825_010","12.52","5","3","0","2","0"
"1","EN14825_011","5.00","4","3","0","2","0"
"1","EN14825_011","3.77","5","3","0","2","0"
"1","EN14825_048","1.000","4","3","0","2","0"
"1","EN14825_048","1.000","5","3","0","2","0"
"1","EN14825_012","10.34","4","3","0","2","0"
"1","EN14825_012","8.39","5","3","0","2","0"
"1","EN14825_013","6.28","4","3","0","2","0"
"1","EN14825_013","4.50","5","3","0","2","0"
"1","EN14825_049","1.000","4","3","0","2","0"
"1","EN14825_049","1.000","5","3","0","2","0"
"1","EN14825_014","10.40","4","3","0","2","0"
"1","EN14825_014","9.77","5","3","0","2","0"
"1","EN14825_015","8.34","4","3","0","2","0"
"1","EN14825_015","6.85","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","24.20","4","3","0","2","0"
"1","EN14825_016","18.73","5","3","0","2","0"
"1","EN14825_017","2.99","4","3","0","2","0"
"1","EN14825_017","2.32","5","3","0","2","0"
"1","EN14825_018","29.12","4","3","0","2","0"
"1","EN14825_018","22.80","5","3","0","2","0"
"1","EN14825_019","2.46","4","3","0","2","0"
"1","EN14825_019","1.83","5","3","0","2","0"
"1","EN14825_021","1.000","4","3","0","2","0"
"1","EN14825_021","1.000","5","3","0","2","0"
"1","EN14825_030","30.60","6","4","0","2","0"
"1","EN14825_030","37.70","7","4","0","2","0"
"1","EN14825_031","5.18","6","4","0","2","0"
"1","EN14825_031","6.61","7","4","0","2","0"
"1","EN14825_032","30.60","6","4","0","2","0"
"1","EN14825_032","37.70","7","4","0","2","0"
"1","EN14825_033","3.10","6","4","0","2","0"
"1","EN14825_033","4.26","7","4","0","2","0"
"1","EN14825_052","1.000","6","4","0","2","0"
"1","EN14825_052","1.000","7","4","0","2","0"
"1","EN14825_034","22.20","6","4","0","2","0"
"1","EN14825_034","27.70","7","4","0","2","0"
"1","EN14825_035","4.37","6","4","0","2","0"
"1","EN14825_035","5.51","7","4","0","2","0"
"1","EN14825_053","1.000","6","4","0","2","0"
"1","EN14825_053","1.000","7","4","0","2","0"
"1","EN14825_036","14.20","6","4","0","2","0"
"1","EN14825_036","16.85","7","4","0","2","0"
"1","EN14825_037","5.85","6","4","0","2","0"
"1","EN14825_037","7.17","7","4","0","2","0"
"1","EN14825_054","1.000","6","4","0","2","0"
"1","EN14825_054","1.000","7","4","0","2","0"
"1","EN14825_038","8.82","6","4","0","2","0"
"1","EN14825_038","9.44","7","4","0","2","0"
"1","EN14825_039","7.43","6","4","0","2","0"
"1","EN14825_039","9.67","7","4","0","2","0"
"1","EN14825_055","0.900","6","4","0","2","0"
"1","EN14825_055","0.900","7","4","0","2","0"
"1","EN14825_022","60","4","3","0","2","0"
"1","EN14825_022","60","5","3","0","2","0"
"1","EN14825_023","0","4","3","0","2","0"
"1","EN14825_023","0","5","3","0","2","0"
"1","EN14825_023","0","6","4","0","2","0"
"1","EN14825_023","0","7","4","0","2","0"
"1","EN14825_024","58","4","3","0","2","0"
"1","EN14825_024","58","5","3","0","2","0"
"1","EN14825_024","58","6","4","0","2","0"
"1","EN14825_024","58","7","4","0","2","0"
"1","EN14825_025","58","4","3","0","2","0"
"1","EN14825_025","58","5","3","0","2","0"
"1","EN14825_025","58","6","4","0","2","0"
"1","EN14825_025","58","7","4","0","2","0"
"1","EN14825_026","60","4","3","0","2","0"
"1","EN14825_026","60","5","3","0","2","0"
"1","EN14825_026","60","6","4","0","2","0"
"1","EN14825_026","60","7","4","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.88","4","3","0","2","0"
"1","EN14825_028","0.90","5","3","0","2","0"
"1","EN14825_029","13545","4","3","0","2","0"
"1","EN14825_029","13692","5","3","0","2","0"
"1","EN14825_041","18360","6","4","0","2","0"
"1","EN14825_041","22620","7","4","0","2","0"
"2","title","MMTC R32 040 HR","0","0","0","1","0"
"2","application","2","0","0","0","1","0"
"2","indoor","0","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","1","0","0","0","1","0"
"2","coolingMode18c23c","1","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","0","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","40.20","4","10","0","2","0"
"2","EN14511_2_001","29.00","5","10","0","2","0"
"2","EN14511_2_002","9.75","6","4","0","2","0"
"2","EN14511_2_002","8.84","7","4","0","2","0"
"2","EN14511_2_002","9.50","4","10","0","2","0"
"2","EN14511_2_002","9.67","5","10","0","2","0"
"2","EN14511_2_003","4.30","4","10","0","2","0"
"2","EN14511_2_003","3.00","5","10","0","2","0"
"2","EN14511_2_005","30.60","6","4","0","2","0"
"2","EN14511_2_005","37.70","7","4","0","2","0"
"2","EN14511_2_007","3.10","6","4","0","2","0"
"2","EN14511_2_007","4.26","7","4","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_002","65","4","3","0","2","0"
"2","EN12102_1_002","65","5","3","0","2","0"
"2","EN14825_001","189","4","3","0","2","0"
"2","EN14825_001","142","5","3","0","2","0"
"2","EN14825_002","30.00","4","3","0","2","0"
"2","EN14825_002","23.70","5","3","0","2","0"
"2","EN14825_003","4.80","4","3","0","2","0"
"2","EN14825_003","3.61","5","3","0","2","0"
"2","EN14825_004","-5","4","3","0","2","0"
"2","EN14825_004","-5","5","3","0","2","0"
"2","EN14825_005","-10","4","3","0","2","0"
"2","EN14825_005","-10","5","3","0","2","0"
"2","EN14825_008","26.20","4","3","0","2","0"
"2","EN14825_008","20.50","5","3","0","2","0"
"2","EN14825_009","2.75","4","3","0","2","0"
"2","EN14825_009","2.15","5","3","0","2","0"
"2","EN14825_047","1.000","4","3","0","2","0"
"2","EN14825_047","1.000","5","3","0","2","0"
"2","EN14825_010","16.59","4","3","0","2","0"
"2","EN14825_010","12.52","5","3","0","2","0"
"2","EN14825_011","5.00","4","3","0","2","0"
"2","EN14825_011","3.77","5","3","0","2","0"
"2","EN14825_048","1.000","4","3","0","2","0"
"2","EN14825_048","1.000","5","3","0","2","0"
"2","EN14825_012","10.34","4","3","0","2","0"
"2","EN14825_012","8.39","5","3","0","2","0"
"2","EN14825_013","6.28","4","3","0","2","0"
"2","EN14825_013","4.50","5","3","0","2","0"
"2","EN14825_049","1.000","4","3","0","2","0"
"2","EN14825_049","1.000","5","3","0","2","0"
"2","EN14825_014","10.40","4","3","0","2","0"
"2","EN14825_014","9.77","5","3","0","2","0"
"2","EN14825_015","8.34","4","3","0","2","0"
"2","EN14825_015","6.85","5","3","0","2","0"
"2","EN14825_050","0.900","4","3","0","2","0"
"2","EN14825_050","0.900","5","3","0","2","0"
"2","EN14825_016","24.20","4","3","0","2","0"
"2","EN14825_016","18.73","5","3","0","2","0"
"2","EN14825_017","2.99","4","3","0","2","0"
"2","EN14825_017","2.32","5","3","0","2","0"
"2","EN14825_018","29.12","4","3","0","2","0"
"2","EN14825_018","22.80","5","3","0","2","0"
"2","EN14825_019","2.46","4","3","0","2","0"
"2","EN14825_019","1.83","5","3","0","2","0"
"2","EN14825_021","1.000","4","3","0","2","0"
"2","EN14825_021","1.000","5","3","0","2","0"
"2","EN14825_030","30.60","6","4","0","2","0"
"2","EN14825_030","37.70","7","4","0","2","0"
"2","EN14825_031","5.18","6","4","0","2","0"
"2","EN14825_031","6.61","7","4","0","2","0"
"2","EN14825_032","30.60","6","4","0","2","0"
"2","EN14825_032","37.70","7","4","0","2","0"
"2","EN14825_033","3.10","6","4","0","2","0"
"2","EN14825_033","4.26","7","4","0","2","0"
"2","EN14825_052","1.000","6","4","0","2","0"
"2","EN14825_052","1.000","7","4","0","2","0"
"2","EN14825_034","22.20","6","4","0","2","0"
"2","EN14825_034","27.70","7","4","0","2","0"
"2","EN14825_035","4.37","6","4","0","2","0"
"2","EN14825_035","5.51","7","4","0","2","0"
"2","EN14825_053","1.000","6","4","0","2","0"
"2","EN14825_053","1.000","7","4","0","2","0"
"2","EN14825_036","14.20","6","4","0","2","0"
"2","EN14825_036","16.85","7","4","0","2","0"
"2","EN14825_037","5.85","6","4","0","2","0"
"2","EN14825_037","7.17","7","4","0","2","0"
"2","EN14825_054","1.000","6","4","0","2","0"
"2","EN14825_054","1.000","7","4","0","2","0"
"2","EN14825_038","8.82","6","4","0","2","0"
"2","EN14825_038","9.44","7","4","0","2","0"
"2","EN14825_039","7.43","6","4","0","2","0"
"2","EN14825_039","9.67","7","4","0","2","0"
"2","EN14825_055","0.900","6","4","0","2","0"
"2","EN14825_055","0.900","7","4","0","2","0"
"2","EN14825_022","60","4","3","0","2","0"
"2","EN14825_022","60","5","3","0","2","0"
"2","EN14825_023","0","4","3","0","2","0"
"2","EN14825_023","0","5","3","0","2","0"
"2","EN14825_023","0","6","4","0","2","0"
"2","EN14825_023","0","7","4","0","2","0"
"2","EN14825_024","58","4","3","0","2","0"
"2","EN14825_024","58","5","3","0","2","0"
"2","EN14825_024","58","6","4","0","2","0"
"2","EN14825_024","58","7","4","0","2","0"
"2","EN14825_025","58","4","3","0","2","0"
"2","EN14825_025","58","5","3","0","2","0"
"2","EN14825_025","58","6","4","0","2","0"
"2","EN14825_025","58","7","4","0","2","0"
"2","EN14825_026","60","4","3","0","2","0"
"2","EN14825_026","60","5","3","0","2","0"
"2","EN14825_026","60","6","4","0","2","0"
"2","EN14825_026","60","7","4","0","2","0"
"2","EN14825_027","1","4","3","0","2","0"
"2","EN14825_027","1","5","3","0","2","0"
"2","EN14825_028","0.88","4","3","0","2","0"
"2","EN14825_028","0.90","5","3","0","2","0"
"2","EN14825_029","13545","4","3","0","2","0"
"2","EN14825_029","13692","5","3","0","2","0"
"2","EN14825_041","18360","6","4","0","2","0"
"2","EN14825_041","22620","7","4","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","5,600 kg","0","0","0","0"
"","Date","27.06.2023","0","0","0","0"
"","Manufacturer"," BDR Thermea FR (DE DIETRICH)","0","0","0","0"
"","Modelname","DE DIETRICH MMTC R32 040","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
