"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","S1156-13","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","2","0","0","0","1","0"
"","EN14511_2_001","5.12","4","10","0","2","2"
"","EN14511_2_001","7.07","4","10","0","2","3"
"","EN14511_2_001","4.50","5","10","0","2","2"
"","EN14511_2_001","6.20","5","10","0","2","3"
"","EN14511_2_002","1.01","4","10","0","2","2"
"","EN14511_2_002","0.96","4","10","0","2","3"
"","EN14511_2_002","1.50","5","10","0","2","2"
"","EN14511_2_002","1.57","5","10","0","2","3"
"","EN14511_2_003","5.06","4","10","0","2","2"
"","EN14511_2_003","7.38","4","10","0","2","3"
"","EN14511_2_003","3.00","5","10","0","2","2"
"","EN14511_2_003","3.95","5","10","0","2","3"
"","EN14511_4_003","2","0","10","0","2","2"
"","EN14511_4_004","2","0","10","0","2","2"
"","EN14511_4_005","2","0","10","0","2","2"
"","EN14511_4_006","2","0","10","0","2","2"
"","EN12102_1_001","39","4","3","0","2","2"
"","EN12102_1_001","39","5","3","0","2","2"
"","EN14825_001","227","4","3","0","2","2"
"","EN14825_001","342","4","3","0","2","3"
"","EN14825_001","163","5","3","0","2","2"
"","EN14825_001","232","5","3","0","2","3"
"","EN14825_002","11.00","4","3","0","2","2"
"","EN14825_002","15.00","4","3","0","2","3"
"","EN14825_002","11.00","5","3","0","2","2"
"","EN14825_002","15.00","5","3","0","2","3"
"","EN14825_003","5.88","4","3","0","2","2"
"","EN14825_003","8.75","4","3","0","2","3"
"","EN14825_003","4.29","5","3","0","2","2"
"","EN14825_003","6.01","5","3","0","2","3"
"","EN14825_004","-10","4","3","0","2","2"
