"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AHb06VR9HP","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","5.00","4","10","0","2","0"
"","EN14511_2_001","5.00","5","10","0","2","0"
"","EN14511_2_002","0.99","4","10","0","2","0"
"","EN14511_2_002","1.54","5","10","0","2","0"
"","EN14511_2_003","5.05","4","10","0","2","0"
"","EN14511_2_003","3.25","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","58","4","3","0","2","0"
"","EN12102_1_002","58","5","3","0","2","0"
"","EN14825_001","192","4","3","0","2","0"
"","EN14825_001","149","5","3","0","2","0"
"","EN14825_002","6.08","4","3","0","2","0"
"","EN14825_002","6.10","5","3","0","2","0"
"","EN14825_003","4.88","4","3","0","2","0"
"","EN14825_003","3.81","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","5.38","4","3","0","2","0"
"","EN14825_008","5.39","5","3","0","2","0"
"","EN14825_009","3.04","4","3","0","2","0"
"","EN14825_009","2.19","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","4.08","4","3","0","2","0"
"","EN14825_010","3.27","5","3","0","2","0"
"","EN14825_011","4.76","4","3","0","2","0"
"","EN14825_011","3.75","5","3","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.980","5","3","0","2","0"
"","EN14825_012","2.49","4","3","0","2","0"
"","EN14825_012","2.68","5","3","0","2","0"
"","EN14825_013","6.55","4","3","0","2","0"
"","EN14825_013","5.25","5","3","0","2","0"
"","EN14825_049","0.960","4","3","0","2","0"
"","EN14825_049","0.970","5","3","0","2","0"
"","EN14825_014","2.84","4","3","0","2","0"
"","EN14825_014","2.64","5","3","0","2","0"
"","EN14825_015","9.89","4","3","0","2","0"
"","EN14825_015","7.14","5","3","0","2","0"
"","EN14825_050","0.950","4","3","0","2","0"
"","EN14825_050","0.960","5","3","0","2","0"
"","EN14825_016","5.38","4","3","0","2","0"
"","EN14825_016","5.39","5","3","0","2","0"
"","EN14825_017","3.04","4","3","0","2","0"
"","EN14825_017","2.19","5","3","0","2","0"
"","EN14825_018","4.07","4","3","0","2","0"
"","EN14825_018","5.10","5","3","0","2","0"
"","EN14825_019","2.88","4","3","0","2","0"
"","EN14825_019","1.89","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","14","4","3","0","2","0"
"","EN14825_023","14","5","3","0","2","0"
"","EN14825_024","14","4","3","0","2","0"
"","EN14825_024","14","5","3","0","2","0"
"","EN14825_025","14","4","3","0","2","0"
"","EN14825_025","14","5","3","0","2","0"
"","EN14825_026","38","4","3","0","2","0"
