"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","APTAE AHP70-15 (brand ATLANTIC); ECOMOD 290 HT AHP70-15 (brand IDEAL); TYNEHAM 290 HT AHP70-15 (brand HAMWORTHY); IZEA AHP70-15 (brand ACV); APTAE AHP70-15 (brand YGNIS)","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","16.33","4","10","0","2","0"
"1","EN14511_2_001","15.23","5","10","0","2","0"
"1","EN14511_2_002","3.70","6","4","0","2","0"
"1","EN14511_2_002","3.30","4","10","0","2","0"
"1","EN14511_2_002","4.52","5","10","0","2","0"
"1","EN14511_2_003","4.94","4","10","0","2","0"
"1","EN14511_2_003","3.37","5","10","0","2","0"
"1","EN14511_2_005","12.41","6","4","0","2","0"
"1","EN14511_2_007","3.35","6","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","62","4","3","0","2","0"
"1","EN12102_1_002","62","5","3","0","2","0"
"1","EN14825_001","191","4","3","0","2","0"
"1","EN14825_001","149","5","3","0","2","0"
"1","EN14825_002","14.60","4","3","0","2","0"
"1","EN14825_002","13.50","5","3","0","2","0"
"1","EN14825_003","4.85","4","3","0","2","0"
"1","EN14825_003","3.79","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","12.90","4","3","0","2","0"
"1","EN14825_008","11.90","5","3","0","2","0"
"1","EN14825_009","2.93","4","3","0","2","0"
"1","EN14825_009","2.30","5","3","0","2","0"
"1","EN14825_047","1.000","4","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","8.30","4","3","0","2","0"
"1","EN14825_010","7.40","5","3","0","2","0"
"1","EN14825_011","4.79","4","3","0","2","0"
"1","EN14825_011","3.67","5","3","0","2","0"
"1","EN14825_048","1.000","4","3","0","2","0"
"1","EN14825_048","1.000","5","3","0","2","0"
"1","EN14825_012","6.10","4","3","0","2","0"
"1","EN14825_012","6.00","5","3","0","2","0"
"1","EN14825_013","6.45","4","3","0","2","0"
"1","EN14825_013","4.91","5","3","0","2","0"
"1","EN14825_049","0.977","4","3","0","2","0"
"1","EN14825_049","0.982","5","3","0","2","0"
"1","EN14825_014","5.50","4","3","0","2","0"
"1","EN14825_014","7.10","5","3","0","2","0"
"1","EN14825_015","8.11","4","3","0","2","0"
"1","EN14825_015","7.67","5","3","0","2","0"
"1","EN14825_050","0.969","4","3","0","2","0"
"1","EN14825_050","0.976","5","3","0","2","0"
"1","EN14825_016","12.90","4","3","0","2","0"
"1","EN14825_016","11.90","5","3","0","2","0"
"1","EN14825_017","2.93","4","3","0","2","0"
"1","EN14825_017","2.30","5","3","0","2","0"
"1","EN14825_018","12.00","4","3","0","2","0"
"1","EN14825_018","11.00","5","3","0","2","0"
"1","EN14825_019","2.65","4","3","0","2","0"
"1","EN14825_019","2.13","5","3","0","2","0"
"1","EN14825_021","1.000","4","3","0","2","0"
"1","EN14825_021","1.000","5","3","0","2","0"
"1","EN14825_030","12.41","6","4","0","2","0"
"1","EN14825_031","5.02","6","4","0","2","0"
"1","EN14825_032","12.41","6","4","0","2","0"
"1","EN14825_033","3.35","6","4","0","2","0"
"1","EN14825_052","1.000","6","4","0","2","0"
"1","EN14825_034","9.77","6","4","0","2","0"
"1","EN14825_035","4.55","6","4","0","2","0"
"1","EN14825_053","1.000","6","4","0","2","0"
"1","EN14825_036","5.84","6","4","0","2","0"
"1","EN14825_037","5.87","6","4","0","2","0"
"1","EN14825_054","1.000","6","4","0","2","0"
"1","EN14825_038","3.36","6","4","0","2","0"
"1","EN14825_039","5.60","6","4","0","2","0"
"1","EN14825_055","0.963","6","4","0","2","0"
"1","EN14825_022","68","4","3","0","2","0"
"1","EN14825_022","68","5","3","0","2","0"
"1","EN14825_023","22","4","3","0","2","0"
"1","EN14825_023","22","5","3","0","2","0"
"1","EN14825_023","22","6","4","0","2","0"
"1","EN14825_024","22","4","3","0","2","0"
"1","EN14825_024","22","5","3","0","2","0"
"1","EN14825_024","0","6","4","0","2","0"
"1","EN14825_025","22","4","3","0","2","0"
"1","EN14825_025","22","5","3","0","2","0"
"1","EN14825_025","28","6","4","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_026","0","6","4","0","2","0"
