"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MHC-V10WD2N7-***","title","MHC-V10WD2N7-***","0","0","0","1","0"
"MHC-V10WD2N7-***","application","2","0","0","0","1","0"
"MHC-V10WD2N7-***","indoor","0","0","0","0","1","0"
"MHC-V10WD2N7-***","outdoor","1","0","0","0","1","0"
"MHC-V10WD2N7-***","coolingMode7c12c","0","0","0","0","1","0"
"MHC-V10WD2N7-***","coolingMode18c23c","0","0","0","0","1","0"
"MHC-V10WD2N7-***","colderClimate","0","0","0","0","1","0"
"MHC-V10WD2N7-***","warmerClimate","0","0","0","0","1","0"
"MHC-V10WD2N7-***","reversibility","0","0","0","0","1","0"
"MHC-V10WD2N7-***","colderForHeating","1","0","0","0","1","0"
"MHC-V10WD2N7-***","warmerForHeating","1","0","0","0","1","0"
"MHC-V10WD2N7-***","en145112Certification","0","0","0","0","1","0"
"MHC-V10WD2N7-***","heatSource","0","0","0","0","1","0"
"MHC-V10WD2N7-***","additionalOutdoorAir","0","0","0","0","1","0"
"MHC-V10WD2N7-***","additionalExhaustAir","0","0","0","0","1","0"
"MHC-V10WD2N7-***","additionalIndoorAir","0","0","0","0","1","0"
"MHC-V10WD2N7-***","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MHC-V10WD2N7-***","powerSupply","1","0","0","0","1","0"
"MHC-V10WD2N7-***","offPeakProduct","0","0","0","0","1","0"
"MHC-V10WD2N7-***","EN14511_2_001","10.0","4","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_2_001","9.5","5","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_2_002","2.13","4","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_2_002","3.11","5","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_2_003","4.70","4","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_2_003","3.05","5","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_4_003","2","0","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_4_004","2","0","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_4_005","2","0","10","0","2","0"
"MHC-V10WD2N7-***","EN14511_4_006","2","0","10","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","4","1","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","5","1","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","4","2","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","5","2","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","4","3","0","2","0"
"MHC-V10WD2N7-***","EN12102_1_002","61","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","281.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","188.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","178","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","136","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","199","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_001","149","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","8.6","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","8.8","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","7.9","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","8.0","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","9.2","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_002","7.8","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","7.11","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","4.79","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","4.54","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","3.49","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","5.07","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_003","3.82","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","7.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","7.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","-15.00","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","-15.00","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","-7","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_004","-7","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","2.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","2.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","-22.00","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","-22.00","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","-10.00","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_005","-10.00","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_008","4.89","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_008","4.86","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_008","8.11","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_008","6.88","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_009","3.74","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_009","2.90","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_009","2.84","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_009","2.31","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_047","0.90","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_047","0.90","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_047","0.90","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_047","0.90","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","8.60","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","8.54","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","3.07","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","3.09","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","5.10","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_010","4.23","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","3.62","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","2.50","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","5.66","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","4.38","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","4.96","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_011","3.80","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_048","0.90","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","5.52","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","5.68","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","3.83","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","3.76","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","3.96","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_012","3.62","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","6.26","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","4.20","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","7.63","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","5.64","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","7.47","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_013","5.21","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_049","0.90","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.61","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.29","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.46","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.32","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.48","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_014","4.31","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","9.84","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","6.53","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","9.24","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","6.92","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","9.56","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_015","6.86","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_050","0.90","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","5.52","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","5.68","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","6.42","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","6.55","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","8.11","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_016","6.88","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","6.26","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","4.20","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","2.69","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","1.99","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","2.84","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_017","2.31","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","8.61","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","8.54","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","6.39","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","5.80","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","8.50","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_018","7.42","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","3.62","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","2.50","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","2.08","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","1.57","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","2.52","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_019","1.99","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_022","75.00","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_023","9.00","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14.00","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14.00","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14.00","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_024","14.00","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9","4","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9","5","1","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9.00","4","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9.00","5","2","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9.00","4","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_025","9.00","5","3","0","2","0"
"MHC-V10WD2N7-***","EN14825_026","0.00","4","1","0","2","0"
