"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AHW-140HCDS1/AHS-140HCDSAA-23","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","14.00","4","10","0","2","0"
"","EN14511_2_001","13.00","5","10","0","2","0"
"","EN14511_2_002","2.92","4","10","0","2","0"
"","EN14511_2_002","4.26","5","10","0","2","0"
"","EN14511_2_003","4.80","4","10","0","2","0"
"","EN14511_2_003","3.05","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","42","4","3","0","2","0"
"","EN12102_1_001","42","5","3","0","2","0"
"","EN12102_1_002","66","4","3","0","2","0"
"","EN12102_1_002","66","5","3","0","2","0"
"","EN14825_001","181","4","3","0","2","0"
"","EN14825_001","128","5","3","0","2","0"
"","EN14825_002","11.90","4","3","0","2","0"
"","EN14825_002","11.70","5","3","0","2","0"
"","EN14825_003","4.61","4","3","0","2","0"
"","EN14825_003","3.29","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.50","4","3","0","2","0"
"","EN14825_008","10.33","5","3","0","2","0"
"","EN14825_009","2.97","4","3","0","2","0"
"","EN14825_009","2.22","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.39","4","3","0","2","0"
"","EN14825_010","6.35","5","3","0","2","0"
"","EN14825_011","4.40","4","3","0","2","0"
"","EN14825_011","3.04","5","3","0","2","0"
