"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"2","title","GRS-CQ10Pd/NhH3-E+SXTVD300LC/B-E","0","0","0","1","0"
"2","application","4","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","1","0","0","0","1","0"
"2","warmerClimate","1","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","1","0","0","0","1","0"
"2","warmerForHeating","1","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","10.2","4","10","0","2","0"
"2","EN14511_2_001","9.06","5","10","0","2","0"
"2","EN14511_2_002","2.04","4","10","0","2","0"
"2","EN14511_2_002","4.15","5","10","0","2","0"
"2","EN14511_2_003","5","4","10","0","2","0"
"2","EN14511_2_003","2.18","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_001","43","4","3","0","2","0"
"2","EN12102_1_001","43","5","3","0","2","0"
"2","EN12102_1_002","64","4","3","0","2","0"
"2","EN12102_1_002","64","5","3","0","2","0"
"2","EN14825_001","235","4","1","0","2","0"
"2","EN14825_001","162","5","1","0","2","0"
"2","EN14825_001","149","4","2","0","2","0"
"2","EN14825_001","111","5","2","0","2","0"
"2","EN14825_001","182","4","3","0","2","0"
"2","EN14825_001","130","5","3","0","2","0"
"2","EN14825_002","10.00","4","1","0","2","0"
