"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","ACPMH28","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","28.00","4","10","0","2","0"
"1","EN14511_2_001","27.30","5","10","0","2","0"
"1","EN14511_2_002","7.99","6","4","0","2","0"
"1","EN14511_2_002","6.35","4","10","0","2","0"
"1","EN14511_2_002","9.99","5","10","0","2","0"
"1","EN14511_2_003","4.41","4","10","0","2","0"
"1","EN14511_2_003","2.73","5","10","0","2","0"
"1","EN14511_2_005","24.20","6","4","0","2","0"
"1","EN14511_2_007","3.03","6","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","67","4","3","0","2","0"
"1","EN12102_1_002","67","5","3","0","2","0"
"1","EN14825_001","169","4","3","0","2","0"
"1","EN14825_001","126","5","3","0","2","0"
"1","EN14825_002","25.00","4","3","0","2","0"
"1","EN14825_002","24.00","5","3","0","2","0"
"1","EN14825_003","4.29","4","3","0","2","0"
"1","EN14825_003","3.23","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-20","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","21.70","4","3","0","2","0"
"1","EN14825_008","20.80","5","3","0","2","0"
"1","EN14825_009","2.68","4","3","0","2","0"
"1","EN14825_009","1.93","5","3","0","2","0"
"1","EN14825_047","1.000","4","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","13.20","4","3","0","2","0"
"1","EN14825_010","12.80","5","3","0","2","0"
"1","EN14825_011","4.26","4","3","0","2","0"
"1","EN14825_011","3.20","5","3","0","2","0"
"1","EN14825_048","1.000","4","3","0","2","0"
"1","EN14825_048","1.000","5","3","0","2","0"
"1","EN14825_012","11.90","4","3","0","2","0"
"1","EN14825_012","11.50","5","3","0","2","0"
"1","EN14825_013","5.39","4","3","0","2","0"
"1","EN14825_013","4.10","5","3","0","2","0"
"1","EN14825_049","0.993","4","3","0","2","0"
"1","EN14825_049","0.995","5","3","0","2","0"
"1","EN14825_014","13.70","4","3","0","2","0"
"1","EN14825_014","13.50","5","3","0","2","0"
"1","EN14825_015","7.06","4","3","0","2","0"
"1","EN14825_015","5.77","5","3","0","2","0"
