"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","MHP-V4WD2N8+HB-P100CG,HB-P100CD30G","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","4.10","4","10","0","2","0"
"","EN14511_2_001","4.20","5","10","0","2","0"
"","EN14511_2_002","0.82","4","10","0","2","0"
"","EN14511_2_002","1.49","5","10","0","2","0"
"","EN14511_2_003","5.00","4","10","0","2","0"
"","EN14511_2_003","2.80","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","38","4","1","0","2","0"
"","EN12102_1_001","38","5","1","0","2","0"
"","EN12102_1_001","38","4","2","0","2","0"
"","EN12102_1_001","38","5","2","0","2","0"
"","EN12102_1_001","38","4","3","0","2","0"
"","EN12102_1_001","38","5","3","0","2","0"
"","EN12102_1_002","55","4","1","0","2","0"
"","EN12102_1_002","55","5","1","0","2","0"
"","EN12102_1_002","55","4","2","0","2","0"
"","EN12102_1_002","55","5","2","0","2","0"
"","EN12102_1_002","55","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","248","4","1","0","2","0"
"","EN14825_001","156","5","1","0","2","0"
"","EN14825_001","152","4","2","0","2","0"
"","EN14825_001","94","5","2","0","2","0"
"","EN14825_001","185","4","3","0","2","0"
"","EN14825_001","125","5","3","0","2","0"
"","EN14825_002","5.40","4","1","0","2","0"
"","EN14825_002","4.80","5","1","0","2","0"
"","EN14825_002","4.40","4","2","0","2","0"
"","EN14825_002","3.10","5","2","0","2","0"
"","EN14825_002","5.40","4","3","0","2","0"
"","EN14825_002","4.20","5","3","0","2","0"
"","EN14825_003","6.28","4","1","0","2","0"
"","EN14825_003","3.97","5","1","0","2","0"
"","EN14825_003","3.88","4","2","0","2","0"
"","EN14825_003","2.42","5","2","0","2","0"
"","EN14825_003","4.71","4","3","0","2","0"
"","EN14825_003","3.20","5","3","0","2","0"
"","EN14825_004","7","4","1","0","2","0"
"","EN14825_004","7","5","1","0","2","0"
"","EN14825_004","-15","4","2","0","2","0"
"","EN14825_004","-15","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","2.63","4","2","0","2","0"
"","EN14825_008","1.97","5","2","0","2","0"
"","EN14825_008","4.75","4","3","0","2","0"
"","EN14825_008","3.76","5","3","0","2","0"
"","EN14825_009","3.34","4","2","0","2","0"
"","EN14825_009","2.14","5","2","0","2","0"
"","EN14825_009","3.10","4","3","0","2","0"
"","EN14825_009","2.10","5","3","0","2","0"
"","EN14825_047","0.900","4","2","0","2","0"
"","EN14825_047","0.900","5","2","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","5.23","4","1","0","2","0"
"","EN14825_010","4.66","5","1","0","2","0"
"","EN14825_010","1.69","4","2","0","2","0"
"","EN14825_010","1.17","5","2","0","2","0"
"","EN14825_010","2.96","4","3","0","2","0"
"","EN14825_010","2.31","5","3","0","2","0"
"","EN14825_011","3.86","4","1","0","2","0"
"","EN14825_011","2.42","5","1","0","2","0"
"","EN14825_011","4.72","4","2","0","2","0"
"","EN14825_011","2.73","5","2","0","2","0"
"","EN14825_011","4.64","4","3","0","2","0"
"","EN14825_011","3.20","5","3","0","2","0"
"","EN14825_048","0.900","4","1","0","2","0"
"","EN14825_048","0.900","5","1","0","2","0"
"","EN14825_048","0.900","4","2","0","2","0"
"","EN14825_048","0.900","5","2","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","3.48","4","1","0","2","0"
"","EN14825_012","3.09","5","1","0","2","0"
"","EN14825_012","1.11","4","2","0","2","0"
"","EN14825_012","0.93","5","2","0","2","0"
"","EN14825_012","1.87","4","3","0","2","0"
"","EN14825_012","2.85","5","3","0","2","0"
"","EN14825_013","5.79","4","1","0","2","0"
"","EN14825_013","3.54","5","1","0","2","0"
"","EN14825_013","5.26","4","2","0","2","0"
"","EN14825_013","3.55","5","2","0","2","0"
"","EN14825_013","5.92","4","3","0","2","0"
"","EN14825_013","4.27","5","3","0","2","0"
"","EN14825_049","0.900","4","1","0","2","0"
