"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Heat Optima 13 EVI","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","8.01","4","10","0","2","0"
"1","EN14511_2_001","7.88","5","10","0","2","0"
"1","EN14511_2_002","1.67","4","10","0","2","0"
"1","EN14511_2_002","3.10","5","10","0","2","0"
"1","EN14511_2_003","4.81","4","10","0","2","0"
"1","EN14511_2_003","2.54","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","58","4","3","0","2","0"
"1","EN12102_1_002","62","5","3","0","2","0"
"1","EN14825_001","177","4","3","0","2","0"
"1","EN14825_001","127","5","3","0","2","0"
"1","EN14825_002","7.20","4","3","0","2","0"
"1","EN14825_002","6.95","5","3","0","2","0"
"1","EN14825_003","4.49","4","3","0","2","0"
"1","EN14825_003","3.25","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-25","4","3","0","2","0"
"1","EN14825_005","-25","5","3","0","2","0"
"1","EN14825_008","6.37","4","3","0","2","0"
"1","EN14825_008","6.15","5","3","0","2","0"
"1","EN14825_009","3.14","4","3","0","2","0"
"1","EN14825_009","2.32","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","4.11","4","3","0","2","0"
"1","EN14825_010","4.05","5","3","0","2","0"
"1","EN14825_011","4.56","4","3","0","2","0"
"1","EN14825_011","3.31","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.26","4","3","0","2","0"
"1","EN14825_012","4.77","5","3","0","2","0"
"1","EN14825_013","5.83","4","3","0","2","0"
"1","EN14825_013","4.20","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","4.86","4","3","0","2","0"
"1","EN14825_014","5.49","5","3","0","2","0"
"1","EN14825_015","7.70","4","3","0","2","0"
"1","EN14825_015","5.78","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","6.37","4","3","0","2","0"
"1","EN14825_016","6.15","5","3","0","2","0"
"1","EN14825_017","3.14","4","3","0","2","0"
"1","EN14825_017","2.32","5","3","0","2","0"
"1","EN14825_018","5.80","4","3","0","2","0"
"1","EN14825_018","5.48","5","3","0","2","0"
"1","EN14825_019","2.62","4","3","0","2","0"
"1","EN14825_019","1.82","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","50","4","3","0","2","0"
"1","EN14825_022","50","5","3","0","2","0"
"1","EN14825_023","10","4","3","0","2","0"
"1","EN14825_023","10","5","3","0","2","0"
"1","EN14825_024","17","4","3","0","2","0"
"1","EN14825_024","17","5","3","0","2","0"
"1","EN14825_025","10","4","3","0","2","0"
"1","EN14825_025","10","5","3","0","2","0"
"1","EN14825_026","42","4","3","0","2","0"
"1","EN14825_026","42","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","1.40","4","3","0","2","0"
"1","EN14825_028","1.47","5","3","0","2","0"
"1","EN14825_029","3308","4","3","0","2","0"
"1","EN14825_029","4418","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,600 kg","0","0","0","0"
"","Date","16.09.2024","0","0","0","0"
"","Manufacturer"," OZEME SP. Z O.O.","0","0","0","0"
"","Modelname","EVI DC Inverter Heat Pump- R32- 13","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
