"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","DFT-012CCH2E1-M","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","1","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","12.00","4","10","0","2","0"
"1","EN14511_2_001","12.00","5","10","0","2","0"
"1","EN14511_2_002","4.07","6","4","0","2","0"
"1","EN14511_2_002","2.78","7","4","0","2","0"
"1","EN14511_2_002","2.45","4","10","0","2","0"
"1","EN14511_2_002","3.64","5","10","0","2","0"
"1","EN14511_2_003","4.90","4","10","0","2","0"
"1","EN14511_2_003","3.30","5","10","0","2","0"
"1","EN14511_2_005","11.40","6","4","0","2","0"
"1","EN14511_2_005","11.40","7","4","0","2","0"
"1","EN14511_2_007","2.80","6","4","0","2","0"
"1","EN14511_2_007","4.10","7","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","68","4","3","0","2","0"
"1","EN12102_1_002","68","5","3","0","2","0"
"1","EN14825_001","193","4","3","0","2","0"
"1","EN14825_001","151","5","3","0","2","0"
"1","EN14825_002","12.00","4","3","0","2","0"
"1","EN14825_002","12.00","5","3","0","2","0"
"1","EN14825_003","4.90","4","3","0","2","0"
"1","EN14825_003","3.85","5","3","0","2","0"
"1","EN14825_004","-10","4","3","0","2","0"
"1","EN14825_004","-10","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","10.87","4","3","0","2","0"
"1","EN14825_008","10.90","5","3","0","2","0"
"1","EN14825_009","3.15","4","3","0","2","0"
"1","EN14825_009","2.42","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","6.78","4","3","0","2","0"
"1","EN14825_010","6.71","5","3","0","2","0"
"1","EN14825_011","4.92","4","3","0","2","0"
"1","EN14825_011","3.86","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.31","4","3","0","2","0"
"1","EN14825_012","4.45","5","3","0","2","0"
"1","EN14825_013","6.80","4","3","0","2","0"
"1","EN14825_013","5.16","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","4.55","4","3","0","2","0"
"1","EN14825_014","4.42","5","3","0","2","0"
"1","EN14825_015","8.40","4","3","0","2","0"
"1","EN14825_015","6.80","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","12.08","4","3","0","2","0"
"1","EN14825_016","12.38","5","3","0","2","0"
"1","EN14825_017","2.76","4","3","0","2","0"
"1","EN14825_017","2.12","5","3","0","2","0"
"1","EN14825_018","12.08","4","3","0","2","0"
"1","EN14825_018","12.38","5","3","0","2","0"
"1","EN14825_019","2.76","4","3","0","2","0"
"1","EN14825_019","2.12","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_030","11.40","6","4","0","2","0"
"1","EN14825_030","11.40","7","4","0","2","0"
"1","EN14825_031","4.50","6","4","0","2","0"
"1","EN14825_031","6.20","7","4","0","2","0"
"1","EN14825_032","11.51","6","4","0","2","0"
"1","EN14825_032","11.48","7","4","0","2","0"
"1","EN14825_033","2.82","6","4","0","2","0"
"1","EN14825_033","4.18","7","4","0","2","0"
"1","EN14825_052","0.900","6","4","0","2","0"
"1","EN14825_052","0.900","7","4","0","2","0"
"1","EN14825_034","8.84","6","4","0","2","0"
"1","EN14825_034","8.81","7","4","0","2","0"
"1","EN14825_035","3.95","6","4","0","2","0"
"1","EN14825_035","6.06","7","4","0","2","0"
"1","EN14825_053","0.900","6","4","0","2","0"
"1","EN14825_053","0.900","7","4","0","2","0"
"1","EN14825_036","5.87","6","4","0","2","0"
"1","EN14825_036","5.74","7","4","0","2","0"
"1","EN14825_037","5.42","6","4","0","2","0"
"1","EN14825_037","7.96","7","4","0","2","0"
"1","EN14825_054","0.900","6","4","0","2","0"
"1","EN14825_054","0.900","7","4","0","2","0"
"1","EN14825_038","4.24","6","4","0","2","0"
"1","EN14825_038","5.18","7","4","0","2","0"
"1","EN14825_039","8.02","6","4","0","2","0"
"1","EN14825_039","10.59","7","4","0","2","0"
"1","EN14825_055","0.900","6","4","0","2","0"
"1","EN14825_055","0.900","7","4","0","2","0"
"1","EN14825_022","75","4","3","0","2","0"
"1","EN14825_022","75","5","3","0","2","0"
"1","EN14825_023","10","4","3","0","2","0"
"1","EN14825_023","10","5","3","0","2","0"
"1","EN14825_023","10","6","4","0","2","0"
"1","EN14825_023","10","7","4","0","2","0"
"1","EN14825_024","40","4","3","0","2","0"
"1","EN14825_024","40","5","3","0","2","0"
"1","EN14825_024","40","6","4","0","2","0"
"1","EN14825_024","40","7","4","0","2","0"
"1","EN14825_025","10","4","3","0","2","0"
"1","EN14825_025","10","5","3","0","2","0"
"1","EN14825_025","10","6","4","0","2","0"
"1","EN14825_025","10","7","4","0","2","0"
"1","EN14825_026","18","4","3","0","2","0"
"1","EN14825_026","18","5","3","0","2","0"
"1","EN14825_026","0","6","4","0","2","0"
"1","EN14825_026","0","7","4","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.00","4","3","0","2","0"
"1","EN14825_028","0.00","5","3","0","2","0"
"1","EN14825_029","4931","4","3","0","2","0"
"1","EN14825_029","6499","5","3","0","2","0"
"1","EN14825_041","1528","6","4","0","2","0"
"1","EN14825_041","1109","7","4","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,350 kg","0","0","0","0"
"","Date","04.09.2024","0","0","0","0"
"","Manufacturer"," Qingdao Smad Electric Appliance Co., Ltd.","0","0","0","0"
"","Modelname","DFT series 12 kW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
