"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","PASRW060-BP-PS-B","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.95","4","10","0","2","0"
"","EN14511_2_001","15.14","5","10","0","2","0"
"","EN14511_2_002","3.45","4","10","0","2","0"
"","EN14511_2_002","5.16","5","10","0","2","0"
"","EN14511_2_003","4.91","4","10","0","2","0"
"","EN14511_2_003","2.94","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","61","4","3","0","2","0"
"","EN12102_1_002","61","5","3","0","2","0"
"","EN14825_001","181","4","3","0","2","0"
"","EN14825_001","130","5","3","0","2","0"
"","EN14825_002","12.51","4","3","0","2","0"
"","EN14825_002","14.58","5","3","0","2","0"
"","EN14825_003","4.60","4","3","0","2","0"
"","EN14825_003","3.33","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","11.06","4","3","0","2","0"
"","EN14825_008","12.90","5","3","0","2","0"
"","EN14825_009","3.27","4","3","0","2","0"
"","EN14825_009","2.10","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","6.86","4","3","0","2","0"
"","EN14825_010","7.91","5","3","0","2","0"
"","EN14825_011","4.46","4","3","0","2","0"
"","EN14825_011","3.33","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","8.10","4","3","0","2","0"
"","EN14825_012","7.23","5","3","0","2","0"
"","EN14825_013","5.57","4","3","0","2","0"
"","EN14825_013","4.10","5","3","0","2","0"
"","EN14825_049","0.990","4","3","0","2","0"
"","EN14825_049","0.990","5","3","0","2","0"
"","EN14825_014","8.65","4","3","0","2","0"
"","EN14825_014","7.39","5","3","0","2","0"
"","EN14825_015","6.73","4","3","0","2","0"
"","EN14825_015","5.71","5","3","0","2","0"
"","EN14825_050","0.990","4","3","0","2","0"
"","EN14825_050","0.990","5","3","0","2","0"
"","EN14825_016","11.06","4","3","0","2","0"
"","EN14825_016","12.90","5","3","0","2","0"
"","EN14825_017","3.27","4","3","0","2","0"
"","EN14825_017","2.10","5","3","0","2","0"
"","EN14825_018","12.41","4","3","0","2","0"
"","EN14825_018","10.66","5","3","0","2","0"
"","EN14825_019","3.07","4","3","0","2","0"
"","EN14825_019","1.66","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","57","4","3","0","2","0"
"","EN14825_022","57","5","3","0","2","0"
"","EN14825_023","20","4","3","0","2","0"
"","EN14825_023","20","5","3","0","2","0"
"","EN14825_024","20","4","3","0","2","0"
"","EN14825_024","20","5","3","0","2","0"
"","EN14825_025","20","4","3","0","2","0"
"","EN14825_025","20","5","3","0","2","0"
"","EN14825_026","60","4","3","0","2","0"
"","EN14825_026","60","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.10","4","3","0","2","0"
"","EN14825_028","3.92","5","3","0","2","0"
"","EN14825_029","5614","4","3","0","2","0"
"","EN14825_029","9038","5","3","0","2","0"
"","title","PASRW060S-BP-PS-B","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.61","4","10","0","2","0"
"","EN14511_2_001","15.15","5","10","0","2","0"
"","EN14511_2_002","3.39","4","10","0","2","0"
"","EN14511_2_002","4.83","5","10","0","2","0"
"","EN14511_2_003","4.90","4","10","0","2","0"
"","EN14511_2_003","3.14","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","61","4","3","0","2","0"
"","EN12102_1_002","61","5","3","0","2","0"
"","EN14825_001","180","4","3","0","2","0"
"","EN14825_001","131","5","3","0","2","0"
"","EN14825_002","12.74","4","3","0","2","0"
"","EN14825_002","14.44","5","3","0","2","0"
"","EN14825_003","4.57","4","3","0","2","0"
"","EN14825_003","3.34","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","11.27","4","3","0","2","0"
"","EN14825_008","12.77","5","3","0","2","0"
"","EN14825_009","3.32","4","3","0","2","0"
"","EN14825_009","2.26","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","6.88","4","3","0","2","0"
"","EN14825_010","7.82","5","3","0","2","0"
"","EN14825_011","4.33","4","3","0","2","0"
"","EN14825_011","3.17","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","8.12","4","3","0","2","0"
"","EN14825_012","6.99","5","3","0","2","0"
"","EN14825_013","5.63","4","3","0","2","0"
"","EN14825_013","4.20","5","3","0","2","0"
"","EN14825_049","0.990","4","3","0","2","0"
"","EN14825_049","0.990","5","3","0","2","0"
"","EN14825_014","8.57","4","3","0","2","0"
"","EN14825_014","5.89","5","3","0","2","0"
"","EN14825_015","6.94","4","3","0","2","0"
"","EN14825_015","5.63","5","3","0","2","0"
"","EN14825_050","0.990","4","3","0","2","0"
"","EN14825_050","0.990","5","3","0","2","0"
"","EN14825_016","11.27","4","3","0","2","0"
"","EN14825_016","12.77","5","3","0","2","0"
"","EN14825_017","3.32","4","3","0","2","0"
"","EN14825_017","2.26","5","3","0","2","0"
"","EN14825_018","12.79","4","3","0","2","0"
"","EN14825_018","14.54","5","3","0","2","0"
"","EN14825_019","3.02","4","3","0","2","0"
"","EN14825_019","1.97","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","56","4","3","0","2","0"
"","EN14825_022","56","5","3","0","2","0"
"","EN14825_023","23","4","3","0","2","0"
"","EN14825_023","23","5","3","0","2","0"
"","EN14825_024","23","4","3","0","2","0"
"","EN14825_024","23","5","3","0","2","0"
"","EN14825_025","23","4","3","0","2","0"
"","EN14825_025","23","5","3","0","2","0"
"","EN14825_026","58","4","3","0","2","0"
"","EN14825_026","58","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","5756","4","3","0","2","0"
"","EN14825_029","8931","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,000 kg","0","0","0","0"
"","Date","01.11.2021","0","0","0","0"
"","Manufacturer"," Guangdong PHNIX Eco-Energy Solution Ltd.","0","0","0","0"
"","Modelname","Intelligent Inverter Heat Pump 60-R32","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
