"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","HL17HB","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","17.35","4","10","0","2","0"
"1","EN14511_2_001","14.80","5","10","0","2","0"
"1","EN14511_2_002","3.98","4","10","0","2","0"
"1","EN14511_2_002","5.57","5","10","0","2","0"
"1","EN14511_2_003","4.37","4","10","0","2","0"
"1","EN14511_2_003","2.66","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","63","4","3","0","2","0"
"1","EN12102_1_002","63","5","3","0","2","0"
"1","EN14825_001","179","4","3","0","2","0"
"1","EN14825_001","137","5","3","0","2","0"
"1","EN14825_002","14.58","4","3","0","2","0"
"1","EN14825_002","13.26","5","3","0","2","0"
"1","EN14825_003","4.55","4","3","0","2","0"
"1","EN14825_003","3.50","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","12.90","4","3","0","2","0"
"1","EN14825_008","11.73","5","3","0","2","0"
"1","EN14825_009","3.08","4","3","0","2","0"
"1","EN14825_009","2.03","5","3","0","2","0"
"1","EN14825_047","1.000","4","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","7.79","4","3","0","2","0"
"1","EN14825_010","7.17","5","3","0","2","0"
"1","EN14825_011","4.36","4","3","0","2","0"
"1","EN14825_011","3.37","5","3","0","2","0"
"1","EN14825_048","0.990","4","3","0","2","0"
"1","EN14825_048","0.990","5","3","0","2","0"
"1","EN14825_012","6.42","4","3","0","2","0"
"1","EN14825_012","6.22","5","3","0","2","0"
"1","EN14825_013","5.82","4","3","0","2","0"
"1","EN14825_013","4.73","5","3","0","2","0"
"1","EN14825_049","0.990","4","3","0","2","0"
"1","EN14825_049","0.990","5","3","0","2","0"
"1","EN14825_014","7.38","4","3","0","2","0"
"1","EN14825_014","7.31","5","3","0","2","0"
"1","EN14825_015","7.99","4","3","0","2","0"
"1","EN14825_015","6.77","5","3","0","2","0"
"1","EN14825_050","0.990","4","3","0","2","0"
"1","EN14825_050","0.990","5","3","0","2","0"
"1","EN14825_016","12.90","4","3","0","2","0"
"1","EN14825_016","11.73","5","3","0","2","0"
"1","EN14825_017","3.08","4","3","0","2","0"
"1","EN14825_017","2.03","5","3","0","2","0"
"1","EN14825_018","14.20","4","3","0","2","0"
"1","EN14825_018","13.15","5","3","0","2","0"
"1","EN14825_019","2.72","4","3","0","2","0"
"1","EN14825_019","1.93","5","3","0","2","0"
"1","EN14825_021","1.000","4","3","0","2","0"
"1","EN14825_021","1.000","5","3","0","2","0"
"1","EN14825_022","60","4","3","0","2","0"
"1","EN14825_022","60","5","3","0","2","0"
"1","EN14825_023","13","4","3","0","2","0"
"1","EN14825_023","13","5","3","0","2","0"
"1","EN14825_024","13","4","3","0","2","0"
"1","EN14825_024","13","5","3","0","2","0"
"1","EN14825_025","13","4","3","0","2","0"
"1","EN14825_025","13","5","3","0","2","0"
"1","EN14825_026","40","4","3","0","2","0"
"1","EN14825_026","40","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.38","4","3","0","2","0"
"1","EN14825_028","0.11","5","3","0","2","0"
"1","EN14825_029","6620","4","3","0","2","0"
"1","EN14825_029","7826","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,500 kg","0","0","0","0"
"","Date","13.11.2023","0","0","0","0"
"","Manufacturer"," Guangdong Warmhouse Technology Co., Ltd.","0","0","0","0"
"","Modelname","Monoblock heat pump R32 series 17KW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
