"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"7","title","PUZ-HWM140VHA(-BS)","0","0","0","1","0"
"7","application","2","0","0","0","1","0"
"7","indoor","0","0","0","0","1","0"
"7","outdoor","1","0","0","0","1","0"
"7","coolingMode7c12c","0","0","0","0","1","0"
"7","coolingMode18c23c","0","0","0","0","1","0"
"7","colderClimate","0","0","0","0","1","0"
"7","warmerClimate","1","0","0","0","1","0"
"7","reversibility","0","0","0","0","1","0"
"7","colderForHeating","0","0","0","0","1","0"
"7","warmerForHeating","0","0","0","0","1","0"
"7","en145112Certification","0","0","0","0","1","0"
"7","heatSource","1","0","0","0","1","0"
"7","additionalOutdoorAir","0","0","0","0","1","0"
"7","additionalExhaustAir","0","0","0","0","1","0"
"7","additionalIndoorAir","0","0","0","0","1","0"
"7","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"7","powerSupply","1","0","0","0","1","0"
"7","offPeakProduct","0","0","0","0","1","0"
"7","EN14511_2_001","14","4","10","0","2","0"
"7","EN14511_2_001","14","5","10","0","2","0"
"7","EN14511_2_002","3.14","4","10","0","2","0"
"7","EN14511_2_002","5.24","5","10","0","2","0"
"7","EN14511_2_003","4.46","4","10","0","2","0"
"7","EN14511_2_003","2.67","5","10","0","2","0"
"7","EN14511_4_003","2","0","10","0","2","0"
"7","EN14511_4_004","2","0","10","0","2","0"
"7","EN14511_4_005","2","0","10","0","2","0"
"7","EN14511_4_006","2","0","10","0","2","0"
"7","EN12102_1_001","40","4","1","0","2","0"
"7","EN12102_1_001","40","5","1","0","2","0"
"7","EN12102_1_001","40","4","3","0","2","0"
"7","EN12102_1_001","40","5","3","0","2","0"
"7","EN12102_1_002","67","4","1","0","2","0"
"7","EN12102_1_002","67","5","1","0","2","0"
"7","EN12102_1_002","67","4","3","0","2","0"
"7","EN12102_1_002","67","5","3","0","2","0"
"7","EN14825_001","232","4","1","0","2","0"
"7","EN14825_001","162","5","1","0","2","0"
"7","EN14825_001","178","4","3","0","2","0"
"7","EN14825_001","133","5","3","0","2","0"
"7","EN14825_002","14","4","1","0","2","0"
"7","EN14825_002","14","5","1","0","2","0"
"7","EN14825_002","14","4","3","0","2","0"
"7","EN14825_002","14","5","3","0","2","0"
"7","EN14825_003","5.87","4","1","0","2","0"
"7","EN14825_003","4.13","5","1","0","2","0"
"7","EN14825_003","4.51","4","3","0","2","0"
"7","EN14825_003","3.39","5","3","0","2","0"
"7","EN14825_004","2","4","1","0","2","0"
"7","EN14825_004","2","5","1","0","2","0"
"7","EN14825_004","-7","4","3","0","2","0"
"7","EN14825_004","-7","5","3","0","2","0"
"7","EN14825_005","-28","4","1","0","2","0"
"7","EN14825_005","-28","5","1","0","2","0"
"7","EN14825_005","-28","4","3","0","2","0"
"7","EN14825_005","-28","5","3","0","2","0"
"7","EN14825_008","12.4","4","3","0","2","0"
"7","EN14825_008","12.4","5","3","0","2","0"
"7","EN14825_009","2.55","4","3","0","2","0"
"7","EN14825_009","1.98","5","3","0","2","0"
"7","EN14825_047","1","4","3","0","2","0"
"7","EN14825_047","1","5","3","0","2","0"
"7","EN14825_010","14","4","1","0","2","0"
"7","EN14825_010","14","5","1","0","2","0"
"7","EN14825_010","7.5","4","3","0","2","0"
"7","EN14825_010","7.5","5","3","0","2","0"
"7","EN14825_011","3.15","4","1","0","2","0"
"7","EN14825_011","1.94","5","1","0","2","0"
"7","EN14825_011","4.4","4","3","0","2","0"
"7","EN14825_011","3.25","5","3","0","2","0"
"7","EN14825_048","1","4","1","0","2","0"
"7","EN14825_048","1","5","1","0","2","0"
"7","EN14825_048","0.99","4","3","0","2","0"
"7","EN14825_048","0.99","5","3","0","2","0"
"7","EN14825_012","9","4","1","0","2","0"
"7","EN14825_012","9","5","1","0","2","0"
"7","EN14825_012","4.9","4","3","0","2","0"
"7","EN14825_012","5.1","5","3","0","2","0"
"7","EN14825_013","5.1","4","1","0","2","0"
"7","EN14825_013","3.25","5","1","0","2","0"
"7","EN14825_013","6.28","4","3","0","2","0"
"7","EN14825_013","4.64","5","3","0","2","0"
"7","EN14825_049","0.99","4","1","0","2","0"
"7","EN14825_049","1","5","1","0","2","0"
"7","EN14825_049","0.98","4","3","0","2","0"
"7","EN14825_049","0.99","5","3","0","2","0"
"7","EN14825_014","5.5","4","1","0","2","0"
"7","EN14825_014","5.2","5","1","0","2","0"
"7","EN14825_014","5.7","4","3","0","2","0"
"7","EN14825_014","5.2","5","3","0","2","0"
"7","EN14825_015","7.43","4","1","0","2","0"
"7","EN14825_015","5.91","5","1","0","2","0"
"7","EN14825_015","7.43","4","3","0","2","0"
"7","EN14825_015","6.24","5","3","0","2","0"
"7","EN14825_050","0.98","4","1","0","2","0"
"7","EN14825_050","0.98","5","1","0","2","0"
"7","EN14825_050","0.98","4","3","0","2","0"
"7","EN14825_050","0.98","5","3","0","2","0"
"7","EN14825_016","14","4","1","0","2","0"
"7","EN14825_016","14","5","1","0","2","0"
"7","EN14825_016","12.4","4","3","0","2","0"
"7","EN14825_016","12.4","5","3","0","2","0"
"7","EN14825_017","3.15","4","1","0","2","0"
"7","EN14825_017","1.94","5","1","0","2","0"
"7","EN14825_017","2.55","4","3","0","2","0"
"7","EN14825_017","1.98","5","3","0","2","0"
"7","EN14825_018","14","4","1","0","2","0"
"7","EN14825_018","14","5","1","0","2","0"
"7","EN14825_018","13.9","4","3","0","2","0"
"7","EN14825_018","13.9","5","3","0","2","0"
"7","EN14825_019","3.15","4","1","0","2","0"
"7","EN14825_019","1.94","5","1","0","2","0"
"7","EN14825_019","2.4","4","3","0","2","0"
"7","EN14825_019","1.75","5","3","0","2","0"
"7","EN14825_022","60","4","1","0","2","0"
"7","EN14825_022","60","5","1","0","2","0"
"7","EN14825_022","60","4","3","0","2","0"
"7","EN14825_022","60","5","3","0","2","0"
"7","EN14825_023","15","4","1","0","2","0"
"7","EN14825_023","15","5","1","0","2","0"
"7","EN14825_023","15","4","3","0","2","0"
"7","EN14825_023","15","5","3","0","2","0"
"7","EN14825_024","15","4","1","0","2","0"
"7","EN14825_024","15","5","1","0","2","0"
"7","EN14825_024","15","4","3","0","2","0"
"7","EN14825_024","15","5","3","0","2","0"
"7","EN14825_025","15","4","1","0","2","0"
"7","EN14825_025","15","5","1","0","2","0"
"7","EN14825_025","15","4","3","0","2","0"
"7","EN14825_025","15","5","3","0","2","0"
"7","EN14825_026","0","4","1","0","2","0"
"7","EN14825_026","0","5","1","0","2","0"
"7","EN14825_026","0","4","3","0","2","0"
"7","EN14825_026","0","5","3","0","2","0"
"7","EN14825_027","1","4","1","0","2","0"
"7","EN14825_027","1","5","1","0","2","0"
"7","EN14825_027","1","4","3","0","2","0"
"7","EN14825_027","1","5","3","0","2","0"
"7","EN14825_028","0","4","1","0","2","0"
"7","EN14825_028","0","5","1","0","2","0"
"7","EN14825_028","0.1","4","3","0","2","0"
"7","EN14825_028","0.1","5","3","0","2","0"
"7","EN14825_029","3186","4","1","0","2","0"
"7","EN14825_029","4527","5","1","0","2","0"
"7","EN14825_029","6407","4","3","0","2","0"
"7","EN14825_029","8534","5","3","0","2","0"
"7","EN16147_002","0","0","1","0","2","0"
"7","EN16147_002","0","0","3","0","2","0"
"7","EN16147_003","0","0","1","0","2","0"
"7","EN16147_003","0","0","3","0","2","0"
"7","EN16147_005","0","0","1","0","2","0"
"7","EN16147_005","0","0","3","0","2","0"
"7","EN16147_006","0","0","1","0","2","0"
"7","EN16147_006","0","0","3","0","2","0"
"7","EN16147_007","0","0","1","0","2","0"
"7","EN16147_007","0","0","3","0","2","0"
"2","title","PUZ-HWM140VHA(-BS) + EHPT20X-*M*D","0","0","0","1","0"
"2","application","4","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","1","0","0","0","1","0"
"2","reversibility","0","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","1","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","14","4","10","0","2","0"
"2","EN14511_2_001","14","5","10","0","2","0"
"2","EN14511_2_002","3.14","4","10","0","2","0"
"2","EN14511_2_002","5.24","5","10","0","2","0"
"2","EN14511_2_003","4.46","4","10","0","2","0"
"2","EN14511_2_003","2.67","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_001","40","4","1","0","2","0"
"2","EN12102_1_001","40","5","1","0","2","0"
"2","EN12102_1_001","40","4","3","0","2","0"
"2","EN12102_1_001","40","5","3","0","2","0"
"2","EN12102_1_002","67","4","1","0","2","0"
"2","EN12102_1_002","67","5","1","0","2","0"
"2","EN12102_1_002","67","4","3","0","2","0"
"2","EN12102_1_002","67","5","3","0","2","0"
"2","EN14825_001","227","4","1","0","2","0"
"2","EN14825_001","160","5","1","0","2","0"
"2","EN14825_001","176","4","3","0","2","0"
"2","EN14825_001","132","5","3","0","2","0"
"2","EN14825_002","14","4","1","0","2","0"
"2","EN14825_002","14","5","1","0","2","0"
"2","EN14825_002","14","4","3","0","2","0"
"2","EN14825_002","14","5","3","0","2","0"
"2","EN14825_003","5.75","4","1","0","2","0"
"2","EN14825_003","4.07","5","1","0","2","0"
"2","EN14825_003","4.47","4","3","0","2","0"
"2","EN14825_003","3.37","5","3","0","2","0"
"2","EN14825_004","2","4","1","0","2","0"
"2","EN14825_004","2","5","1","0","2","0"
"2","EN14825_004","-7","4","3","0","2","0"
"2","EN14825_004","-7","5","3","0","2","0"
"2","EN14825_005","-28","4","1","0","2","0"
"2","EN14825_005","-28","5","1","0","2","0"
"2","EN14825_005","-28","4","3","0","2","0"
"2","EN14825_005","-28","5","3","0","2","0"
"2","EN14825_008","12.4","4","3","0","2","0"
"2","EN14825_008","12.4","5","3","0","2","0"
"2","EN14825_009","2.55","4","3","0","2","0"
"2","EN14825_009","1.98","5","3","0","2","0"
"2","EN14825_047","1","4","3","0","2","0"
"2","EN14825_047","1","5","3","0","2","0"
"2","EN14825_010","14","4","1","0","2","0"
"2","EN14825_010","14","5","1","0","2","0"
"2","EN14825_010","7.5","4","3","0","2","0"
"2","EN14825_010","7.5","5","3","0","2","0"
"2","EN14825_011","3.15","4","1","0","2","0"
"2","EN14825_011","1.94","5","1","0","2","0"
"2","EN14825_011","4.4","4","3","0","2","0"
"2","EN14825_011","3.25","5","3","0","2","0"
"2","EN14825_048","1","4","1","0","2","0"
"2","EN14825_048","1","5","1","0","2","0"
"2","EN14825_048","0.99","4","3","0","2","0"
"2","EN14825_048","0.99","5","3","0","2","0"
"2","EN14825_012","9","4","1","0","2","0"
"2","EN14825_012","9","5","1","0","2","0"
"2","EN14825_012","4.9","4","3","0","2","0"
"2","EN14825_012","5.1","5","3","0","2","0"
"2","EN14825_013","5.1","4","1","0","2","0"
"2","EN14825_013","3.25","5","1","0","2","0"
"2","EN14825_013","6.28","4","3","0","2","0"
"2","EN14825_013","4.64","5","3","0","2","0"
"2","EN14825_049","0.99","4","1","0","2","0"
"2","EN14825_049","1","5","1","0","2","0"
"2","EN14825_049","0.98","4","3","0","2","0"
"2","EN14825_049","0.99","5","3","0","2","0"
"2","EN14825_014","5.5","4","1","0","2","0"
"2","EN14825_014","5.2","5","1","0","2","0"
"2","EN14825_014","5.7","4","3","0","2","0"
"2","EN14825_014","5.2","5","3","0","2","0"
"2","EN14825_015","7.43","4","1","0","2","0"
"2","EN14825_015","5.91","5","1","0","2","0"
"2","EN14825_015","7.43","4","3","0","2","0"
"2","EN14825_015","6.24","5","3","0","2","0"
"2","EN14825_050","0.98","4","1","0","2","0"
"2","EN14825_050","0.98","5","1","0","2","0"
"2","EN14825_050","0.98","4","3","0","2","0"
"2","EN14825_050","0.98","5","3","0","2","0"
"2","EN14825_016","14","4","1","0","2","0"
"2","EN14825_016","14","5","1","0","2","0"
"2","EN14825_016","12.4","4","3","0","2","0"
"2","EN14825_016","12.4","5","3","0","2","0"
"2","EN14825_017","3.15","4","1","0","2","0"
"2","EN14825_017","1.94","5","1","0","2","0"
"2","EN14825_017","2.55","4","3","0","2","0"
"2","EN14825_017","1.98","5","3","0","2","0"
"2","EN14825_018","14","4","1","0","2","0"
"2","EN14825_018","14","5","1","0","2","0"
"2","EN14825_018","13.9","4","3","0","2","0"
"2","EN14825_018","13.9","5","3","0","2","0"
"2","EN14825_019","3.15","4","1","0","2","0"
"2","EN14825_019","1.94","5","1","0","2","0"
"2","EN14825_019","2.4","4","3","0","2","0"
"2","EN14825_019","1.75","5","3","0","2","0"
"2","EN14825_022","60","4","1","0","2","0"
"2","EN14825_022","60","5","1","0","2","0"
"2","EN14825_022","60","4","3","0","2","0"
